There	EX	there
’s	VBZ	be
this	DT	this
wonderful	JJ	wonderful
exhibition	NN	exhibition
on	IN	on
at	IN	at
the	DT	the
moment	NN	moment
of	IN	of
Moroni	NP	Moroni
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	DT	that
sixteenth‑century	JJ	<unknown>
portrait	NN	portrait
painter	NN	painter
who	WP	who
’s	VBZ	have
been	VBN	be
rather	RB	rather
forgotten	VBN	forget
.	SENT	.
You	PP	you
ca	MD	ca
n’t	RB	n't
see	VB	see
it	PP	it
together	RB	together
with	IN	with
the	DT	the
other	JJ	other
show	NN	show
,	,	,
unfortunately	RB	unfortunately
,	,	,
but	CC	but
on	IN	on
its	PP$	its
own	JJ	own
it	PP	it
’s	VBZ	be
really	RB	really
something	NN	something
.	SENT	.
The	DT	the
portraits	NNS	portrait
are	VBP	be
so	RB	so
psychologically	RB	psychologically
incisive	JJ	incisive
,	,	,
absolutely	RB	absolutely
amazing	JJ	amazing
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
getting	VBG	get
you	PP	you
into	IN	into
the	DT	the
gallery	NN	gallery
,	,	,
we	PP	we
’ve	VBP	have
got	VBN	get
two	CD	two
options	NNS	option
:	:	:
I	PP	I
can	MD	can
introduce	VB	introduce
you	PP	you
to	TO	to
this	DT	this
chap	NN	chap
who	WP	who
can	MD	can
get	VB	get
you	PP	you
in	IN	in
any	DT	any
time	NN	time
,	,	,
or	CC	or
we	PP	we
can	MD	can
use	VB	use
the	DT	the
official	JJ	official
rule	NN	rule
that	IN	that
friends	NNS	friend
can	MD	can
go	VB	go
in	IN	in
free	JJ	free
on	IN	on
Fridays	NNS	Friday
at	IN	at
nine	CD	nine
o’clock	NN	o’clock
.	SENT	.
