there	EX	there
’s	VBZ	be
actually	RB	actually
this	DT	this
version	NN	version
of	IN	of
Risk	NP	Risk
called	VBD	call
Risk	NP	Risk
Legacy	NP	Legacy
that	IN	that
I	PP	I
got	VBD	get
my	PP$	my
dad	NN	dad
for	IN	for
Christmas	NP	Christmas
,	,	,
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
about	RB	about
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
it	PP	it
’s	VBZ	be
kind	NN	kind
of	IN	of
cool	NN	cool
because	IN	because
when	WRB	when
you	PP	you
conquer	VBP	conquer
territories	NNS	territory
you	PP	you
can	MD	can
actually	RB	actually
name	VB	name
them	PP	them
yourself	PP	yourself
,	,	,
like	VBP	like
properly	RB	properly
write	VB	write
on	IN	on
the	DT	the
board	NN	board
.	SENT	.
and	CC	and
as	IN	as
the	DT	the
game	NN	game
goes	VBZ	go
on	IN	on
you	PP	you
get	VBP	get
these	DT	these
stickers	NNS	sticker
you	PP	you
can	MD	can
put	VB	put
down	RP	down
that	DT	that
change	NN	change
the	DT	the
board	NN	board
,	,	,
like	IN	like
giving	VBG	give
certain	JJ	certain
places	NNS	place
extra	JJ	extra
tanks	NNS	tank
and	CC	and
stuff	NN	stuff
like	IN	like
that	DT	that
.	SENT	.
but	CC	but
even	RB	even
with	IN	with
all	PDT	all
that	DT	that
,	,	,
I	PP	I
never	RB	never
really	RB	really
got	VBN	get
into	IN	into
Risk	NN	risk
myself	PP	myself
.	SENT	.
