yes	UH	yes
it	PP	it
was	VBD	be
pretty	RB	pretty
awful	JJ	awful
really	RB	really
,	,	,
and	CC	and
what	WP	what
made	VBD	make
it	PP	it
worse	RBR	worse
was	VBD	be
that	IN	that
I	PP	I
did	VBD	do
try	VB	try
to	TO	to
flag	VB	flag
it	PP	it
up	RP	up
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
this	DT	this
young	JJ	young
doctor	NN	doctor
twice	RB	twice
,	,	,
telling	VBG	tell
him	PP	him
I	PP	I
had	VBD	have
slurred	VBN	slur
speech	NN	speech
and	CC	and
I	PP	I
was	VBD	be
struggling	VBG	struggle
to	TO	to
find	VB	find
words	NNS	word
,	,	,
and	CC	and
he	PP	he
just	RB	just
dismissed	VBD	dismiss
it	PP	it
,	,	,
did	VBD	do
n’t	RB	n't
take	VB	take
it	PP	it
seriously	RB	seriously
at	IN	at
all	DT	all
.	SENT	.
then	RB	then
of	IN	of
course	NN	course
I	PP	I
went	VBD	go
on	RP	on
to	TO	to
have	VB	have
a	DT	a
stroke	NN	stroke
–	:	-
only	RB	only
a	DT	a
small	JJ	small
one	CD	one
,	,	,
a	DT	a
TIA	NP	Tia
,	,	,
but	CC	but
still	RB	still
a	DT	a
stroke	NN	stroke
–	:	-
and	CC	and
it	PP	it
all	RB	all
came	VBD	come
back	RB	back
to	TO	to
that	DT	that
.	SENT	.
and	CC	and
then	RB	then
,	,	,
as	RB	as
if	IN	if
that	DT	that
was	VBD	be
n’t	RB	n't
enough	RB	enough
,	,	,
when	WRB	when
the	DT	the
company	NN	company
medical	JJ	medical
insurance	NN	insurance
was	VBD	be
changing	VBG	change
over	RP	over
from	IN	from
one	CD	one
scheme	NN	scheme
to	TO	to
another	DT	another
,	,	,
he	PP	he
actually	RB	actually
recorded	VBD	record
the	DT	the
stroke	NN	stroke
as	IN	as
having	VBG	have
happened	VBN	happen
before	IN	before
the	DT	the
new	JJ	new
scheme	NN	scheme
started	VBD	start
.	SENT	.
that	DT	that
was	VBD	be
n’t	RB	n't
true	JJ	true
,	,	,
but	CC	but
because	IN	because
he	PP	he
put	VBP	put
it	PP	it
down	RB	down
like	VBP	like
that	IN	that
,	,	,
we	PP	we
lost	VBD	lose
our	PP$	our
private	JJ	private
health	NN	health
insurance	NN	insurance
.	SENT	.
so	RB	so
there	EX	there
was	VBD	be
the	DT	the
health	NN	health
side	NN	side
of	IN	of
it	PP	it
,	,	,
and	CC	and
then	RB	then
this	DT	this
financial	JJ	financial
knock-on	NN	knock-on
as	IN	as
well	RB	well
.	SENT	.
it	PP	it
’s	VBZ	have
left	VBN	leave
me	PP	me
feeling	JJ	feeling
that	IN	that
an	DT	an
older	JJR	old
,	,	,
more	RBR	more
experienced	JJ	experienced
doctor	NN	doctor
would	MD	would
have	VB	have
handled	VBN	handle
the	DT	the
whole	JJ	whole
thing	NN	thing
much	RB	much
more	RBR	more
humanely	RB	humanely
,	,	,
both	CC	both
medically	RB	medically
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
they	PP	they
dealt	VBD	deal
with	IN	with
the	DT	the
insurance	NN	insurance
situation	NN	situation
.	SENT	.
that	DT	that
experience	NN	experience
really	RB	really
shook	VBD	shake
my	PP$	my
confidence	NN	confidence
in	IN	in
him	PP	him
.	SENT	.
