One	CD	one
of	IN	of
our	PP$	our
absolutely	RB	absolutely
key	JJ	key
marketing	NN	marketing
messages	NNS	message
was	VBD	be
,	,	,
“	``	"
you	PP	you
have	VBP	have
to	TO	to
start	VB	start
thinking	VBG	think
about	IN	about
this	DT	this
early	JJ	early
,	,	,
”	''	"
because	IN	because
employers	NNS	employer
’	POS	'
deadlines	NNS	deadline
come	VBP	come
round	NN	round
so	RB	so
quickly	RB	quickly
.	SENT	.
We	PP	we
were	VBD	be
gradually	RB	gradually
getting	VBG	get
better	RBR	well
each	DT	each
year	NN	year
at	IN	at
shifting	VBG	shift
students	NNS	student
to	TO	to
earlier	JJR	early
engagement	NN	engagement
,	,	,
but	CC	but
it	PP	it
was	VBD	be
still	RB	still
a	DT	a
real	JJ	real
challenge	NN	challenge
.	SENT	.
Another	DT	another
difficulty	NN	difficulty
was	VBD	be
getting	VBG	get
across	RP	across
,	,	,
in	IN	in
a	DT	a
poster	NN	poster
or	CC	or
leaflet	NN	leaflet
,	,	,
that	WDT	that
we	PP	we
actually	RB	actually
had	VBD	have
structured	VBN	structure
ways	NNS	way
of	IN	of
helping	VBG	help
them	PP	them
with	IN	with
these	DT	these
really	RB	really
knotty	JJ	knotty
decisions	NNS	decision
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
students	NNS	student
stayed	VBD	stay
away	RB	away
precisely	RB	precisely
because	IN	because
they	PP	they
did	VBD	do
n’t	RB	n't
yet	RB	yet
know	VB	know
what	WP	what
they	PP	they
wanted	VBD	want
to	TO	to
do	VB	do
,	,	,
whereas	IN	whereas
in	IN	in
fact	NN	fact
that	WDT	that
was	VBD	be
the	DT	the
best	RBS	well
possible	JJ	possible
reason	NN	reason
to	TO	to
come	VB	come
and	CC	and
see	VB	see
us	PP	us
.	SENT	.
