yeah	RB	yeah
so	RB	so
these	DT	these
kitten	NN	kitten
dreams	NNS	dream
,	,	,
I	PP	I
really	RB	really
feel	VBP	feel
like	IN	like
they	PP	they
’re	VBP	be
my	PP$	my
higher	JJR	high
self	NN	self
kind	NN	kind
of	IN	of
nudging	VBG	nudge
me	PP	me
,	,	,
going	VBG	go
,	,	,
“	``	"
Come	VB	come
on	IN	on
,	,	,
lighten	VB	lighten
up	RB	up
,	,	,
have	VBP	have
a	DT	a
bit	NN	bit
more	JJR	more
fun	NN	fun
.	SENT	.
”	''	"
They	PP	they
’re	VBP	be
so	RB	so
playful	JJ	playful
and	CC	and
sweet	JJ	sweet
,	,	,
and	CC	and
that	DT	that
’s	VBZ	be
exactly	RB	exactly
the	DT	the
feeling	NN	feeling
I	PP	I
get	VBP	get
from	IN	from
them	PP	them
–	:	-
like	IN	like
I	PP	I
’m	NN	<unknown>
being	VBG	be
told	VBN	tell
to	TO	to
be	VB	be
more	RBR	more
light‑hearted	JJ	<unknown>
,	,	,
not	RB	not
so	RB	so
heavy	JJ	heavy
and	CC	and
serious	JJ	serious
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
It	PP	it
’s	VBZ	be
like	IN	like
a	DT	a
reminder	NN	reminder
that	IN	that
life	NN	life
does	VBZ	do
n’t	RB	n't
have	VB	have
to	TO	to
be	VB	be
all	DT	all
work	NN	work
and	CC	and
self‑analysis	NN	self‑analysis
and	CC	and
pressure	NN	pressure
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
are	VBP	be
these	DT	these
other	JJ	other
dreams	NNS	dream
I	PP	I
keep	VBP	keep
having	VBG	have
,	,	,
about	IN	about
buildings	NNS	building
and	CC	and
big	JJ	big
old	JJ	old
houses	NNS	house
.	SENT	.
Last	JJ	last
night	NN	night
’s	VBZ	be
one	PP	one
was	VBD	be
wonderful	JJ	wonderful
.	SENT	.
I	PP	I
was	VBD	be
in	IN	in
this	DT	this
huge	JJ	huge
old	JJ	old
mansion	NN	mansion
,	,	,
and	CC	and
I	PP	I
was	VBD	be
renovating	VBG	renovate
it	PP	it
,	,	,
exploring	VBG	explore
all	PDT	all
these	DT	these
different	JJ	different
rooms	NNS	room
.	SENT	.
There	EX	there
were	VBD	be
friends	NNS	friend
there	RB	there
helping	VBG	help
me	PP	me
,	,	,
