When	WRB	when
we	PP	we
first	RB	first
went	VBD	go
into	IN	into
the	DT	the
EU	NP	EU
,	,	,
there	EX	there
was	VBD	be
this	DT	this
great	JJ	great
hope	NN	hope
that	IN	that
our	PP$	our
graduates	NNS	graduate
would	MD	would
all	RB	all
be	VB	be
dashing	VBG	dash
off	RP	off
to	TO	to
wonderful	JJ	wonderful
jobs	NNS	job
in	IN	in
Europe	NP	Europe
.	SENT	.
The	DT	the
assumption	NN	assumption
was	VBD	be
that	DT	that
membership	NN	membership
would	MD	would
just	RB	just
open	VB	open
everything	NN	everything
up	RP	up
,	,	,
and	CC	and
that	IN	that
employers	NNS	employer
over	IN	over
there	EX	there
would	MD	would
be	VB	be
terribly	RB	terribly
keen	JJ	keen
to	TO	to
take	VB	take
bright	JJ	bright
British	JJ	British
graduates	NNS	graduate
.	SENT	.
So	RB	so
we	PP	we
dutifully	RB	dutifully
started	VBD	start
going	VBG	go
out	RP	out
to	TO	to
see	VB	see
employers	NNS	employer
in	IN	in
various	JJ	various
European	JJ	European
countries	NNS	country
,	,	,
trying	VBG	try
to	TO	to
build	VB	build
those	DT	those
links	NNS	link
and	CC	and
find	VB	find
out	RP	out
what	WP	what
opportunities	NNS	opportunity
there	EX	there
might	MD	might
be	VB	be
.	SENT	.
In	IN	in
practice	NN	practice
it	PP	it
just	RB	just
never	RB	never
really	RB	really
worked	VBD	work
the	DT	the
way	NN	way
people	NNS	people
imagined	VBD	imagine
.	SENT	.
The	DT	the
cultures	NNS	culture
were	VBD	be
different	JJ	different
,	,	,
the	DT	the
education	NN	education
systems	NNS	system
were	VBD	be
different	JJ	different
,	,	,
and	CC	and
the	DT	the
expectations	NNS	expectation
on	IN	on
both	DT	both
sides	NNS	side
did	VBD	do
n’t	RB	n't
quite	RB	quite
match	VB	match
.	SENT	.
We	PP	we
could	MD	could
get	VB	get
the	DT	the
conversations	NNS	conversation
going	VBG	go
,	,	,
but	CC	but
it	PP	it
did	VBD	do
n’t	RB	n't
translate	VB	translate
into	IN	into
large	JJ	large
numbers	NNS	number
of	IN	of
our	PP$	our
students	NNS	student
going	VBG	go
into	IN	into
proper	JJ	proper
graduate	JJ	graduate
roles	NNS	role
on	IN	on
the	DT	the
Continent	NN	continent
.	SENT	.
The	DT	the
ones	NNS	one
who	WP	who
did	VBD	do
manage	VB	manage
to	TO	to
work	VB	work
abroad	RB	abroad
in	IN	in
any	DT	any
numbers	NNS	number
,	,	,
really	RB	really
,	,	,
were	VBD	be
those	DT	those
who	WP	who
went	VBD	go
out	RP	out
to	TO	to
teach	VB	teach
English	JJ	English
.	SENT	.
That	DT	that
became	VBD	become
the	DT	the
obvious	JJ	obvious
route	NN	route
,	,	,
because	IN	because
the	DT	the
demand	NN	demand
for	IN	for
English	JJ	English
teachers	NNS	teacher
was	VBD	be
there	RB	there
and	CC	and
you	PP	you
did	VBD	do
n’t	RB	n't
have	VB	have
quite	PDT	quite
the	DT	the
same	JJ	same
issues	NNS	issue
about	IN	about
fitting	NN	fitting
into	IN	into
a	DT	a
national	JJ	national
graduate	NN	graduate
recruitment	NN	recruitment
system	NN	system
.	SENT	.
For	IN	for
international	JJ	international
students	NNS	student
coming	VBG	come
here	RB	here
,	,	,
what	WP	what
often	RB	often
made	VBD	make
a	DT	a
difference	NN	difference
was	VBD	be
doing	VBG	do
a	DT	a
UK	NP	UK
master	NN	master
’s	POS	's
.	SENT	.
That	DT	that
could	MD	could
genuinely	RB	genuinely
improve	VB	improve
their	PP$	their
prospects	NNS	prospect
,	,	,
either	CC	either
back	RB	back
home	RB	home
or	CC	or
sometimes	RB	sometimes
elsewhere	RB	elsewhere
,	,	,
because	IN	because
a	DT	a
British	JJ	British
postgraduate	NN	postgraduate
qualification	NN	qualification
carried	VBD	carry
weight	NN	weight
.	SENT	.
We	PP	we
put	VBD	put
a	DT	a
lot	NN	lot
of	IN	of
effort	NN	effort
into	IN	into
building	VBG	build
up	RP	up
information	NN	information
and	CC	and
resources	NNS	resource
about	IN	about
graduate	JJ	graduate
jobs	NNS	job
overseas	RB	overseas
,	,	,
not	RB	not
just	RB	just
teaching	VBG	teach
.	SENT	.
There	EX	there
were	VBD	be
files	NNS	file
and	CC	and
databases	NNS	database
and	CC	and
all	DT	all
sorts	NNS	sort
of	IN	of
things	NNS	thing
available	JJ	available
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
end	NN	end
,	,	,
very	RB	very
,	,	,
very	RB	very
few	JJ	few
students	NNS	student
actually	RB	actually
succeeded	VBN	succeed
in	IN	in
getting	VBG	get
into	IN	into
those	DT	those
non-teaching	JJ	non-teaching
roles	NNS	role
abroad	RB	abroad
,	,	,
despite	IN	despite
everything	NN	everything
we	PP	we
tried	VBD	try
to	TO	to
put	VB	put
in	IN	in
place	NN	place
for	IN	for
them	PP	them
.	SENT	.
