oh	UH	oh
yeah	RB	yeah
they	PP	they
are	VBP	be
nice	JJ	nice
with	IN	with
all	PDT	all
that	DT	that
salt	NN	salt
,	,	,
really	RB	really
good	JJ	good
actually	RB	actually
.	SENT	.
If	IN	if
you	PP	you
ever	RB	ever
want	VBP	want
to	TO	to
do	VB	do
jacket	NN	jacket
potatoes	NNS	potato
quickly	RB	quickly
,	,	,
there	EX	there
’s	VBZ	be
a	DT	a
trick	NN	trick
I	PP	I
use	VBP	use
.	SENT	.
Do	VB	do
them	PP	them
in	IN	in
the	DT	the
microwave	NN	microwave
first	JJ	first
to	TO	to
save	VB	save
time	NN	time
,	,	,
just	RB	just
cook	VB	cook
them	PP	them
through	IN	through
like	IN	like
normal	JJ	normal
so	IN	so
the	DT	the
inside	NN	inside
’s	VBZ	be
done	VBN	do
.	SENT	.
Then	RB	then
coat	VB	coat
the	DT	the
potato	NN	potato
in	IN	in
olive	JJ	olive
oil	NN	oil
and	CC	and
salt	NN	salt
,	,	,
wrap	VB	wrap
it	PP	it
in	IN	in
a	DT	a
paper	NN	paper
towel	NN	towel
,	,	,
and	CC	and
pop	VB	pop
it	PP	it
in	IN	in
the	DT	the
oven	NN	oven
for	IN	for
about	RB	about
five	CD	five
minutes	NNS	minute
.	SENT	.
That	DT	that
way	NN	way
the	DT	the
skin	NN	skin
crisps	VBZ	crisp
up	RP	up
properly	RB	properly
instead	RB	instead
of	IN	of
staying	VBG	stay
all	DT	all
soft	JJ	soft
.	SENT	.
It	PP	it
’s	VBZ	be
a	DT	a
good	JJ	good
little	JJ	little
tip	NN	tip
.	SENT	.
