most	JJS	most
of	IN	of
the	DT	the
customers	NNS	customer
that	WDT	that
knew	VBD	know
us	PP	us
just	RB	just
refused	VBD	refuse
to	TO	to
go	VB	go
in	IN	in
there	RB	there
,	,	,
they	PP	they
said	VBD	say
it	PP	it
was	VBD	be
absolutely	RB	absolutely
disgusting	JJ	disgusting
,	,	,
so	IN	so
that	WDT	that
did	VBD	do
n’t	RB	n't
help	VB	help
them	PP	them
at	IN	at
all	DT	all
.	SENT	.
Then	RB	then
they	PP	they
tried	VBD	try
to	TO	to
get	VB	get
all	PDT	all
the	DT	the
same	JJ	same
accounts	NNS	account
as	IN	as
us	PP	us
,	,	,
but	CC	but
of	IN	of
course	NN	course
the	DT	the
companies	NNS	company
already	RB	already
had	VBD	have
us	PP	us
as	IN	as
customers	NNS	customer
,	,	,
long‑standing	VBG	long‑stand
ones	NNS	one
,	,	,
so	RB	so
they	PP	they
would	MD	would
n’t	RB	n't
give	VB	give
them	PP	them
an	DT	an
account	NN	account
.	SENT	.
They	PP	they
were	VBD	be
ringing	VBG	ring
round	NN	round
trying	VBG	try
to	TO	to
set	VB	set
things	NNS	thing
up	RB	up
and	CC	and
just	RB	just
kept	VBD	keep
getting	VBG	get
refused	VBN	refuse
,	,	,
which	WDT	which
wound	VBD	wind
them	PP	them
up	RP	up
even	RB	even
more	RBR	more
,	,	,
because	IN	because
from	IN	from
their	PP$	their
point	NN	point
of	IN	of
view	NN	view
we	PP	we
’d	VBD	have
already	RB	already
got	VBN	get
in	IN	in
there	RB	there
first	JJ	first
.	SENT	.
