when	WRB	when
I	PP	I
first	RB	first
started	VBD	start
working	VBG	work
there	RB	there
I	PP	I
literally	RB	literally
had	VBD	have
to	TO	to
live	VB	live
off	RP	off
my	PP$	my
savings	NNS	saving
,	,	,
because	IN	because
it	PP	it
was	VBD	be
supposed	VBN	suppose
to	TO	to
be	VB	be
this	DT	this
two‑week	NN	<unknown>
trial	NN	trial
and	CC	and
it	PP	it
ended	VBD	end
up	RP	up
dragging	VBG	drag
on	IN	on
for	IN	for
six	CD	six
weeks	NNS	week
with	IN	with
no	DT	no
pay	NN	pay
at	IN	at
all	DT	all
.	SENT	.
By	IN	by
the	DT	the
time	NN	time
they	PP	they
finally	RB	finally
did	VBD	do
pay	VB	pay
me	PP	me
,	,	,
it	PP	it
just	RB	just
vanished	VBD	vanish
straight	RB	straight
into	IN	into
my	PP$	my
overdraft	NN	overdraft
and	CC	and
other	JJ	other
debts	NNS	debt
,	,	,
so	RB	so
I	PP	I
never	RB	never
really	RB	really
felt	VBN	feel
like	IN	like
I	PP	I
was	VBD	be
earning	VBG	earn
anything	NN	anything
.	SENT	.
And	CC	and
the	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
over	IN	over
about	RB	about
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
years	NNS	year
I	PP	I
went	VBD	go
from	IN	from
being	VBG	be
really	RB	really
raw	JJ	raw
and	CC	and
untrained	JJ	untrained
as	IN	as
a	DT	a
journalist	NN	journalist
to	TO	to
actually	RB	actually
knowing	VBG	know
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
,	,	,
but	CC	but
I	PP	I
was	VBD	be
still	RB	still
on	IN	on
exactly	RB	exactly
the	DT	the
same	JJ	same
wage	NN	wage
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
disheartening	VBG	dishearten
.	SENT	.
