oh	UH	oh
I	PP	I
doubt	VBP	doubt
I	PP	I
'll	MD	will
be	VB	be
the	DT	the
only	JJ	only
girl	NN	girl
who	WP	who
's	VBZ	be
ever	RB	ever
done	VBN	do
it	PP	it
,	,	,
there	EX	there
'll	MD	will
definitely	RB	definitely
be	VB	be
other	JJ	other
women	NNS	woman
there	RB	there
,	,	,
but	CC	but
I	PP	I
love	VBP	love
that	IN	that
you	PP	you
think	VBP	think
I	PP	I
could	MD	could
be	VB	be
that	RB	that
special	JJ	special
.	SENT	.
It	PP	it
does	VBZ	do
sound	VB	sound
really	RB	really
scary	JJ	scary
with	IN	with
the	DT	the
fire	NN	fire
and	CC	and
everything	NN	everything
,	,	,
but	CC	but
after	IN	after
today	NN	today
I	PP	I
just	RB	just
feel	VBP	feel
like	IN	like
,	,	,
actually	RB	actually
,	,	,
I	PP	I
am	VBP	be
quite	RB	quite
strong	JJ	strong
.	SENT	.
Getting	VBG	get
up	RP	up
those	DT	those
hay	NN	hay
bales	NNS	bale
was	VBD	be
so	RB	so
much	RB	much
easier	JJR	easy
than	IN	than
I	PP	I
expected	VBD	expect
,	,	,
and	CC	and
I	PP	I
managed	VBD	manage
the	DT	the
running	NN	running
and	CC	and
the	DT	the
pulling-myself-up	JJ	<unknown>
bits	NNS	bit
,	,	,
so	RB	so
it	PP	it
’s	VBZ	have
made	VBN	make
me	PP	me
realise	VBP	realise
I	PP	I
’ve	VBP	have
got	VBN	get
a	DT	a
decent	JJ	decent
chance	NN	chance
of	IN	of
getting	VBG	get
through	IN	through
a	DT	a
tougher	JJR	tough
race	NN	race
.	SENT	.
And	CC	and
like	IN	like
I	PP	I
said	VBD	say
,	,	,
it	PP	it
’s	VBZ	be
only	RB	only
an	DT	an
hour	NN	hour
and	CC	and
a	DT	a
half	NN	half
of	IN	of
my	PP$	my
life	NN	life
at	IN	at
most	JJS	most
,	,	,
and	CC	and
it	PP	it
does	VBZ	do
n’t	RB	n't
matter	VB	matter
if	IN	if
I	PP	I
ca	MD	ca
n’t	RB	n't
do	VB	do
every	DT	every
single	JJ	single
obstacle	NN	obstacle
perfectly	RB	perfectly
.	SENT	.
Hearing	NN	hearing
you	PP	you
say	VBP	say
I	PP	I
should	MD	should
do	VB	do
it	PP	it
really	RB	really
makes	VBZ	make
me	PP	me
want	VBP	want
to	TO	to
give	VB	give
it	PP	it
a	DT	a
proper	JJ	proper
go	NN	go
.	SENT	.
