Oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
that	WDT	that
reminds	VBZ	remind
me	PP	me
of	IN	of
when	WRB	when
I	PP	I
lost	VBD	lose
my	PP$	my
phone	NN	phone
years	NNS	year
ago	RB	ago
,	,	,
back	RB	back
when	WRB	when
Zara	NP	Zara
and	CC	and
I	PP	I
were	VBD	be
both	DT	both
working	NN	working
in	IN	in
the	DT	the
same	JJ	same
shopping	NN	shopping
centre	NN	centre
.	SENT	.
We	PP	we
used	VBD	use
to	TO	to
be	VB	be
so	RB	so
organised	VBN	organise
,	,	,
like	VB	like
,	,	,
“	``	"
Right	RB	right
,	,	,
our	PP$	our
breaks	NNS	break
are	VBP	be
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
we	PP	we
’ll	RB	<unknown>
just	RB	just
meet	VB	meet
up	RP	up
then	RB	then
,	,	,
”	''	"
and	CC	and
it	PP	it
all	RB	all
depended	VBD	depend
on	IN	on
having	VBG	have
our	PP$	our
phones	NNS	phone
.	SENT	.
Then	RB	then
I	PP	I
lost	VBD	lose
mine	NN	mine
,	,	,
and	CC	and
of	IN	of
course	NN	course
that	WDT	that
was	VBD	be
the	DT	the
day	NN	day
everything	NN	everything
went	VBD	go
wrong	JJ	wrong
.	SENT	.
Zara	NP	Zara
had	VBD	have
changed	VBN	change
her	PP$	her
break	NN	break
time	NN	time
and	CC	and
I	PP	I
had	VBD	have
no	DT	no
way	NN	way
of	IN	of
knowing	VBG	know
,	,	,
no	DT	no
way	NN	way
of	IN	of
contacting	VBG	contact
her	PP	her
at	IN	at
all	DT	all
.	SENT	.
We	PP	we
completely	RB	completely
missed	VBD	miss
each	DT	each
other	JJ	other
and	CC	and
then	RB	then
somehow	RB	somehow
did	VBD	do
n’t	RB	n't
see	VB	see
each	DT	each
other	JJ	other
for	IN	for
forty‑eight	NN	forty‑eight
hours	NNS	hour
.	SENT	.
