right	RB	right
so	RB	so
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
doing	VBG	do
is	VBZ	be
using	VBG	use
your	PP$	your
Q	NP	Q
and	CC	and
your	PP$	your
E	NN	E
mainly	RB	mainly
to	TO	to
poke	VB	poke
them	PP	them
and	CC	and
clear	VB	clear
the	DT	the
wave	NN	wave
,	,	,
but	CC	but
only	RB	only
when	WRB	when
it	PP	it
’s	VBZ	be
safe	JJ	safe
,	,	,
yeah	RB	yeah
?	SENT	?
stay	VB	stay
behind	IN	behind
your	PP$	your
minions	NNS	minion
,	,	,
let	VB	let
them	PP	them
take	VB	take
the	DT	the
damage	NN	damage
,	,	,
and	CC	and
then	RB	then
you	PP	you
step	VBP	step
forward	RB	forward
to	TO	to
last–hit	VB	<unknown>
the	DT	the
enemy	NN	enemy
minions	NNS	minion
.	SENT	.
last–hitting	NN	<unknown>
just	RB	just
means	VBZ	mean
you	PP	you
only	RB	only
hit	VBD	hit
them	PP	them
for	IN	for
the	DT	the
killing	VBG	kill
blow	NN	blow
so	IN	so
you	PP	you
actually	RB	actually
get	VBP	get
the	DT	the
gold	NN	gold
from	IN	from
them	PP	them
,	,	,
otherwise	RB	otherwise
you	PP	you
do	VBP	do
n’t	RB	n't
get	VB	get
anything	NN	anything
for	IN	for
it	PP	it
.	SENT	.
that	DT	that
’s	VBZ	be
how	WRB	how
you	PP	you
get	VBP	get
your	PP$	your
items	NNS	item
.	SENT	.
with	IN	with
your	PP$	your
Ultimate	NP	Ultimate
,	,	,
your	PP$	your
R	NN	R
,	,	,
you	PP	you
save	VBP	save
that	IN	that
for	IN	for
when	WRB	when
you	PP	you
can	MD	can
really	RB	really
catch	VB	catch
them	PP	them
–	:	-
it	PP	it
freezes	VBZ	freeze
them	PP	them
and	CC	and
binds	VBZ	bind
them	PP	them
to	TO	to
the	DT	the
ground	NN	ground
,	,	,
so	RB	so
they	PP	they
ca	MD	ca
n’t	RB	n't
move	VB	move
and	CC	and
you	PP	you
can	MD	can
just	RB	just
keep	VB	keep
hitting	VBG	hit
them	PP	them
.	SENT	.
try	VB	try
to	TO	to
line	VB	line
it	PP	it
up	RP	up
when	WRB	when
they	PP	they
’re	VBP	be
close	RB	close
enough	RB	enough
and	CC	and
not	RB	not
hiding	VBG	hide
behind	IN	behind
loads	NNS	load
of	IN	of
minions	NNS	minion
.	SENT	.
if	IN	if
they	PP	they
start	VBP	start
pushing	VBG	push
too	RB	too
hard	JJ	hard
or	CC	or
there	EX	there
are	VBP	be
loads	NNS	load
of	IN	of
them	PP	them
,	,	,
that	WDT	that
’s	VBZ	be
when	WRB	when
you	PP	you
run	VBP	run
away	RB	away
,	,	,
do	VBP	do
n’t	RB	n't
just	RB	just
stand	VB	stand
there	RB	there
trading	NN	trading
.	SENT	.
when	WRB	when
it	PP	it
’s	VBZ	be
only	RB	only
a	DT	a
couple	NN	couple
of	IN	of
minions	NNS	minion
left	VBN	leave
and	CC	and
you	PP	you
’ve	VBP	have
got	VBN	get
your	PP$	your
abilities	NNS	ability
ready	JJ	ready
,	,	,
you	PP	you
can	MD	can
push	VB	push
forward	RB	forward
a	DT	a
bit	NN	bit
,	,	,
but	CC	but
as	RB	as
soon	RB	soon
as	IN	as
it	PP	it
looks	VBZ	look
dangerous	JJ	dangerous
,	,	,
back	RB	back
off	RB	off
again	RB	again
.	SENT	.
so	RB	so
:	:	:
stay	VB	stay
behind	IN	behind
your	PP$	your
minions	NNS	minion
,	,	,
last–hit	NN	<unknown>
for	IN	for
gold	NN	gold
,	,	,
poke	NN	poke
with	IN	with
Q	NP	Q
and	CC	and
E	NP	E
,	,	,
and	CC	and
use	VB	use
your	PP$	your
Ultimate	NP	Ultimate
to	TO	to
lock	VB	lock
them	PP	them
down	RB	down
when	WRB	when
you	PP	you
’re	VBP	be
sure	JJ	sure
you	PP	you
can	MD	can
follow	VB	follow
up	RP	up
.	SENT	.
