Yes	UH	yes
,	,	,
that	WDT	that
’s	VBZ	be
really	RB	really
interesting	JJ	interesting
actually	RB	actually
,	,	,
that	DT	that
difference	NN	difference
between	IN	between
what	WP	what
they	PP	they
say	VBP	say
to	TO	to
you	PP	you
and	CC	and
what	WP	what
they	PP	they
write	VBP	write
to	TO	to
your	PP$	your
GP	NN	GP
.	SENT	.
Because	IN	because
when	WRB	when
you	PP	you
’re	VBP	be
sitting	VBG	sit
there	RB	there
in	IN	in
the	DT	the
room	NN	room
,	,	,
and	CC	and
they	PP	they
come	VBP	come
out	RP	out
with	IN	with
things	NNS	thing
like	VBP	like
,	,	,
“	``	"
I	PP	I
’m	NN	<unknown>
afraid	JJ	afraid
I	NP	I
’m	NN	<unknown>
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
stick	VB	stick
my	PP$	my
finger	NN	finger
up	IN	up
your	PP$	your
back	JJ	back
passage	NN	passage
,	,	,
”	''	"
you	PP	you
just	RB	just
think	VBP	think
,	,	,
“	``	"
Oh	UH	oh
.	SENT	.
”	''	"
It	PP	it
feels	VBZ	feel
a	DT	a
bit	NN	bit
weird	NN	weird
,	,	,
a	DT	a
bit	NN	bit
childish	JJ	childish
almost	RB	almost
,	,	,
like	IN	like
they	PP	they
’ve	VBP	have
suddenly	RB	suddenly
gone	VBN	go
into	IN	into
baby	NN	baby
language	NN	language
with	IN	with
you	PP	you
.	SENT	.
And	CC	and
that	DT	that
’s	VBZ	be
part	NN	part
of	IN	of
what	WP	what
we	PP	we
were	VBD	be
talking	VBG	talk
about	RB	about
at	IN	at
the	DT	the
start	NN	start
,	,	,
is	VBZ	be
n’t	RB	n't
it	PP	it
?	SENT	?
The	DT	the
whole	JJ	whole
reason	NN	reason
we	PP	we
’re	VBP	be
doing	VBG	do
this	DT	this
recording	NN	recording
for	IN	for
Cambridge	NP	Cambridge
University	NP	University
Press	NP	Press
and	CC	and
The	DT	the
Eve	NP	Eve
Appeal	NN	appeal
is	VBZ	be
because	IN	because
of	IN	of
this	DT	this
tangle	NN	tangle
between	IN	between
embarrassment	NN	embarrassment
,	,	,
lack	NN	lack
of	IN	of
knowledge	NN	knowledge
,	,	,
and	CC	and
the	DT	the
words	NNS	word
themselves	PP	themselves
.	SENT	.
The	DT	the
charity	NN	charity
’s	VBZ	be
so	RB	so
focused	VBN	focus
on	IN	on
younger	JJR	young
women	NNS	woman
,	,	,
and	CC	and
yet	RB	yet
there	EX	there
’s	VBZ	be
this	DT	this
assumption	NN	assumption
that	IN	that
because	IN	because
they	PP	they
’re	VBP	be
supposedly	RB	supposedly
very	RB	very
open	JJ	open
about	IN	about
sex	NN	sex
and	CC	and
health	NN	health
,	,	,
they	PP	they
must	MD	must
automatically	RB	automatically
know	VB	know
all	PDT	all
the	DT	the
right	JJ	right
terms	NNS	term
for	IN	for
their	PP$	their
bodies	NNS	body
.	SENT	.
But	CC	but
in	IN	in
reality	NN	reality
,	,	,
they	PP	they
often	RB	often
do	VBP	do
n’t	RB	n't
know	VB	know
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
parts	NNS	part
,	,	,
or	CC	or
they	PP	they
feel	VBP	feel
uncomfortable	JJ	uncomfortable
saying	VBG	say
words	NNS	word
like	IN	like
vagina	NN	vagina
or	CC	or
vulva	NN	vulva
.	SENT	.
So	RB	so
you	PP	you
get	VBP	get
this	DT	this
odd	JJ	odd
situation	NN	situation
where	WRB	where
the	DT	the
slang	NN	slang
feels	VBZ	feel
derogatory	JJ	derogatory
and	CC	and
horrible	JJ	horrible
,	,	,
the	DT	the
clinical	JJ	clinical
terms	NNS	term
sound	VBP	sound
cold	JJ	cold
and	CC	and
clinical	JJ	clinical
,	,	,
and	CC	and
then	RB	then
the	DT	the
doctor	NN	doctor
,	,	,
instead	RB	instead
of	IN	of
modelling	VBG	model
clear	JJ	clear
,	,	,
adult	JJ	adult
language	NN	language
,	,	,
comes	VBZ	come
out	RP	out
with	IN	with
euphemisms	NNS	euphemism
like	IN	like
“	``	"
back	JJ	back
passage	NN	passage
.	SENT	.
”	''	"
It	PP	it
does	VBZ	do
n’t	RB	n't
help	VB	help
you	PP	you
feel	VB	feel
more	RBR	more
confident	JJ	confident
about	IN	about
talking	VBG	talk
,	,	,
or	CC	or
about	RB	about
going	VBG	go
to	TO	to
the	DT	the
doctor	NN	doctor
early	RB	early
if	IN	if
something	NN	something
’s	VBZ	be
wrong	JJ	wrong
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
’s	VBZ	be
why	WRB	why
this	DT	this
feels	VBZ	feel
like	IN	like
such	PDT	such
a	DT	a
good	JJ	good
tie-up	NN	tie-up
with	IN	with
the	DT	the
research	NN	research
:	:	:
it	PP	it
’s	VBZ	be
not	RB	not
just	RB	just
about	IN	about
the	DT	the
medical	JJ	medical
side	NN	side
of	IN	of
gynaecological	JJ	gynaecological
cancers	NNS	cancer
,	,	,
it	PP	it
’s	VBZ	be
about	RB	about
the	DT	the
language	NN	language
around	IN	around
them	PP	them
.	SENT	.
If	IN	if
people	NNS	people
are	VBP	be
dying	VBG	die
because	IN	because
they	PP	they
’re	VBP	be
too	RB	too
embarrassed	VBN	embarrass
to	TO	to
use	VB	use
the	DT	the
proper	JJ	proper
words	NNS	word
with	IN	with
their	PP$	their
doctor	NN	doctor
,	,	,
then	RB	then
what	WP	what
doctors	NNS	doctor
say	VBP	say
in	IN	in
the	DT	the
consulting	NN	consulting
room	NN	room
really	RB	really
matters	VBZ	matter
just	RB	just
as	RB	as
much	JJ	much
as	IN	as
what	WP	what
they	PP	they
write	VBP	write
in	IN	in
letters	NNS	letter
.	SENT	.
