what	WP	what
I	PP	I
'm	VBP	be
imagining	VBG	imagine
is	VBZ	be
a	DT	a
system	NN	system
where	WRB	where
you	PP	you
still	RB	still
have	VBP	have
your	PP$	your
own	JJ	own
house	NN	house
,	,	,
you	PP	you
can	MD	can
stay	VB	stay
in	IN	in
it	PP	it
forever	RB	forever
if	IN	if
you	PP	you
like	VBP	like
,	,	,
but	CC	but
the	DT	the
big	JJ	big
structural	JJ	structural
stuff	NN	stuff
and	CC	and
disasters	NNS	disaster
are	VBP	be
n’t	RB	n't
your	PP$	your
personal	JJ	personal
financial	JJ	financial
problem	NN	problem
.	SENT	.
The	DT	the
maintenance	NN	maintenance
and	CC	and
repairs	NNS	repair
would	MD	would
be	VB	be
funded	VBN	fund
collectively	RB	collectively
through	IN	through
taxes	NNS	tax
,	,	,
so	RB	so
if	IN	if
something	NN	something
major	NN	major
goes	VBZ	go
wrong	JJ	wrong
,	,	,
a	DT	a
government	NN	government
agency	NN	agency
comes	VBZ	come
and	CC	and
fixes	VBZ	fix
it	PP	it
rather	RB	rather
than	IN	than
you	PP	you
being	VBG	be
landed	VBN	land
with	IN	with
a	DT	a
huge	JJ	huge
bill	NN	bill
.	SENT	.
The	DT	the
reason	NN	reason
I	PP	I
think	VBP	think
that	WDT	that
’s	VBZ	be
important	JJ	important
is	VBZ	be
my	PP$	my
friend	NN	friend
in	IN	in
America	NP	America
–	:	-
they	PP	they
’d	VBD	have
just	RB	just
taken	VBN	take
out	IN	out
a	DT	a
mortgage	NN	mortgage
and	CC	and
then	RB	then
there	EX	there
was	VBD	be
this	DT	this
freak	NN	freak
weather	NN	weather
,	,	,
I	PP	I
think	VBP	think
in	IN	in
Nashville	NP	Nashville
or	CC	or
somewhere	RB	somewhere
in	IN	in
Tennessee	NP	Tennessee
,	,	,
and	CC	and
their	PP$	their
house	NN	house
flooded	VBD	flood
.	SENT	.
They	PP	they
ended	VBD	end
up	RP	up
with	IN	with
this	DT	this
massive	JJ	massive
debt	NN	debt
for	IN	for
something	NN	something
they	PP	they
could	MD	could
n’t	RB	n't
possibly	RB	possibly
have	VBP	have
predicted	VBN	predict
.	SENT	.
