oh	UH	oh
that	WDT	that
’s	VBZ	be
such	PDT	such
a	DT	a
lovely	JJ	lovely
place	NN	place
there	RB	there
,	,	,
is	VBZ	be
n’t	RB	n't
it	PP	it
?	SENT	?
and	CC	and
look	VBP	look
,	,	,
there	EX	there
’s	VBZ	be
your	PP$	your
mum	NN	mum
trying	VBG	try
to	TO	to
play	VB	play
the	DT	the
guitar	NN	guitar
while	IN	while
you	PP	you
’ve	VBP	have
your	PP$	your
earphones	NNS	earphone
on	IN	on
,	,	,
you	PP	you
can	MD	can
just	RB	just
see	VB	see
you	PP	you
blocking	VBG	block
her	PP	her
out	RP	out
.	SENT	.
you	PP	you
must	MD	must
’ve	VB	have
worn	VBN	wear
those	DT	those
trainers	NNS	trainer
an	DT	an
awful	JJ	awful
lot	NN	lot
back	RB	back
then	RB	then
.	SENT	.
when	WRB	when
you	PP	you
were	VBD	be
four	CD	four
,	,	,
your	PP$	your
granny	NN	granny
and	CC	and
I	PP	I
were	VBD	be
very	RB	very
kind	JJ	kind
to	TO	to
you	PP	you
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
was	VBD	be
really	RB	really
fun	NN	fun
being	VBG	be
with	IN	with
you	PP	you
.	SENT	.
sometimes	RB	sometimes
you	PP	you
even	RB	even
joined	VBD	join
in	IN	in
with	IN	with
my	PP$	my
samba	NN	samba
band	NN	band
,	,	,
and	CC	and
we	PP	we
’d	MD	will
be	VB	be
going	VBG	go
up	RP	up
and	CC	and
down	RP	down
to	TO	to
school	NN	school
together	RB	together
.	SENT	.
did	VBD	do
you	PP	you
like	IN	like
school	NN	school
?	SENT	?
