Chomsky	NP	Chomsky
in	IN	in
the	DT	the
sixties	NNS	sixty
basically	RB	basically
came	VBD	come
along	RP	along
and	CC	and
said	VBD	say
,	,	,
look	VBP	look
,	,	,
it	PP	it
ca	MD	ca
n’t	RB	n't
just	RB	just
be	VB	be
that	IN	that
kids	NNS	kid
hear	VBP	hear
stuff	NN	stuff
and	CC	and
copy	VB	copy
it	PP	it
,	,	,
because	IN	because
they	PP	they
come	VBP	come
out	RP	out
with	IN	with
sentences	NNS	sentence
they	PP	they
’ve	VBP	have
never	RB	never
heard	VBN	hear
before	IN	before
,	,	,
and	CC	and
they	PP	they
*don’t*	NN	<unknown>
say	VBP	say
loads	NNS	load
of	IN	of
things	NNS	thing
that	WDT	that
would	MD	would
be	VB	be
logically	RB	logically
possible	JJ	possible
but	CC	but
are	VBP	be
wrong	JJ	wrong
.	SENT	.
So	RB	so
there	EX	there
has	VBZ	have
to	TO	to
be	VB	be
some	DT	some
kind	NN	kind
of	IN	of
underlying	VBG	underlie
structure	NN	structure
in	IN	in
the	DT	the
brain	NN	brain
already	RB	already
,	,	,
a	DT	a
sort	NN	sort
of	IN	of
universal	JJ	universal
grammar	NN	grammar
.	SENT	.
Then	RB	then
all	DT	all
children	NNS	child
really	RB	really
do	VBP	do
is	VBZ	be
set	VBN	set
these	DT	these
parameters	NNS	parameter
–	:	-
like	VBP	like
,	,	,
is	VBZ	be
the	DT	the
language	NN	language
head‑first	NN	head‑first
or	CC	or
head‑last	NN	<unknown>
,	,	,
can	MD	can
you	PP	you
drop	VB	drop
the	DT	the
subject	NN	subject
or	CC	or
not	RB	not
,	,	,
so	RB	so
English	JJ	English
“	``	"
I	PP	I
speak	VBP	speak
”	''	"
versus	CC	versus
just	RB	just
“	``	"
speak	VB	speak
.	SENT	.
”	''	"
