one	CD	one
of	IN	of
the	DT	the
pretexts	NNS	pretext
they	PP	they
used	VBD	use
for	IN	for
the	DT	the
massacre	NN	massacre
and	CC	and
expulsion	NN	expulsion
of	IN	of
the	DT	the
Jews	NPS	Jews
was	VBD	be
this	DT	this
accusation	NN	accusation
that	IN	that
they	PP	they
were	VBD	be
shaving	VBG	shave
the	DT	the
silver	JJ	silver
coins	NNS	coin
,	,	,
you	PP	you
know	VBP	know
,	,	,
clipping	VBG	clip
them	PP	them
.	SENT	.
And	CC	and
yet	RB	yet
in	IN	in
that	DT	that
part‑demolished	JJ	<unknown>
building	NN	building
they	PP	they
found	VBD	find
this	DT	this
absolutely	RB	absolutely
perfect	JJ	perfect
silver	NN	silver
coin	NN	coin
,	,	,
clearly	RB	clearly
deliberately	RB	deliberately
placed	VBN	place
in	IN	in
a	DT	a
little	JJ	little
niche	NN	niche
.	SENT	.
The	DT	the
whole	JJ	whole
site	NN	site
had	VBD	have
been	VBN	be
filled	VBN	fill
up	RP	up
with	IN	with
rubble	NN	rubble
,	,	,
then	RB	then
much	RB	much
later	RBR	later
it	PP	it
was	VBD	be
excavated	VBN	excavate
and	CC	and
then	RB	then
refilled	VBN	refill
again	RB	again
,	,	,
so	RB	so
the	DT	the
coin	NN	coin
really	RB	really
stood	VBD	stand
out	RP	out
when	WRB	when
it	PP	it
was	VBD	be
discovered	VBN	discover
.	SENT	.
We	PP	we
had	VBD	have
a	DT	a
historian	NN	historian
who	WP	who
’d	VBD	have
done	VBN	do
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
on	IN	on
the	DT	the
immigrant	NN	immigrant
tower	NN	tower
,	,	,
and	CC	and
he	PP	he
took	VBD	take
our	PP$	our
so‑called	JJ	<unknown>
synagogue	NN	synagogue
to	TO	to
a	DT	a
conference	NN	conference
in	IN	in
Germany	NP	Germany
.	SENT	.
He	PP	he
described	VBD	describe
it	PP	it
there	RB	there
and	CC	and
the	DT	the
German	JJ	German
historians	NNS	historian
and	CC	and
archaeologists	NNS	archaeologist
all	RB	all
said	VBD	say
it	PP	it
sounded	VBD	sound
exactly	RB	exactly
like	IN	like
a	DT	a
building	NN	building
they	PP	they
knew	VBD	know
in	IN	in
northern	JJ	northern
Germany	NP	Germany
.	SENT	.
I	PP	I
must	MD	must
say	VB	say
I	PP	I
was	VBD	be
rather	RB	rather
pleased	VBN	please
about	IN	about
that	DT	that
,	,	,
it	PP	it
felt	VBD	feel
as	RB	as
if	IN	if
we	PP	we
’d	VBD	have
got	VBN	get
some	DT	some
proper	JJ	proper
confirmation	NN	confirmation
.	SENT	.
