When	WRB	when
I	PP	I
was	VBD	be
hostelling	NN	hostelling
in	IN	in
New	NP	New
Zealand	NP	Zealand
I	PP	I
met	VBD	meet
this	DT	this
really	RB	really
passive‑aggressive	JJ	passive‑aggressive
,	,	,
arrogant	JJ	arrogant
guy	NN	guy
from	IN	from
Essex	NP	Essex
,	,	,
and	CC	and
he	PP	he
had	VBD	have
this	DT	this
massive	JJ	massive
motorbike	NN	motorbike
.	SENT	.
His	PP$	his
whole	JJ	whole
thing	NN	thing
was	VBD	be
that	IN	that
he	PP	he
’d	MD	will
rock	VB	rock
up	RP	up
to	TO	to
a	DT	a
hostel	NN	hostel
and	CC	and
,	,	,
before	IN	before
anything	NN	anything
else	RB	else
,	,	,
tell	VBP	tell
the	DT	the
managers	NNS	manager
he	PP	he
snored	VBD	snore
really	RB	really
badly	RB	badly
.	SENT	.
He	PP	he
’d	MD	will
say	VB	say
it	PP	it
in	IN	in
this	DT	this
way	NN	way
that	WDT	that
made	VBD	make
it	PP	it
sound	VB	sound
like	IN	like
he	PP	he
was	VBD	be
being	VBG	be
considerate	JJ	considerate
,	,	,
like	VB	like
,	,	,
“	``	"
Oh	UH	oh
,	,	,
you	PP	you
do	VBP	do
n’t	RB	n't
want	VB	want
complaints	NNS	complaint
from	IN	from
other	JJ	other
guests	NNS	guest
.	SENT	.
”	''	"
But	CC	but
the	DT	the
whole	JJ	whole
point	NN	point
was	VBD	be
to	TO	to
get	VB	get
himself	PP	himself
a	DT	a
private	JJ	private
room	NN	room
at	IN	at
the	DT	the
shared‑room	NN	<unknown>
price	NN	price
.	SENT	.
I	PP	I
just	RB	just
thought	VBD	think
it	PP	it
was	VBD	be
so	RB	so
selfish	JJ	selfish
,	,	,
trying	VBG	try
to	TO	to
get	VB	get
something	NN	something
better	JJR	good
for	IN	for
nothing	NN	nothing
.	SENT	.
The	DT	the
annoying	VBG	annoy
thing	NN	thing
was	VBD	be
,	,	,
it	PP	it
usually	RB	usually
worked	VBD	work
.	SENT	.
