Your	PP$	your
mam	NN	mam
had	VBD	have
the	DT	the
video	JJ	video
camera	NN	camera
,	,	,
that	WDT	that
’s	VBZ	be
how	WRB	how
it	PP	it
happened	VBD	happen
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
just	RB	just
chance	NN	chance
,	,	,
but	CC	but
we	PP	we
were	VBD	be
a	DT	a
bit	NN	bit
prepared	VBN	prepare
as	IN	as
well	RB	well
.	SENT	.
She	PP	she
was	VBD	be
standing	VBG	stand
at	IN	at
the	DT	the
door	NN	door
,	,	,
holding	VBG	hold
you	PP	you
,	,	,
kind	NN	kind
of	IN	of
encouraging	VBG	encourage
you	PP	you
to	TO	to
walk	VB	walk
.	SENT	.
The	DT	the
camera	NN	camera
was	VBD	be
all	RB	all
ready	JJ	ready
,	,	,
near	IN	near
the	DT	the
front	JJ	front
door	NN	door
and	CC	and
the	DT	the
kitchen	NN	kitchen
,	,	,
set	VBN	set
up	RP	up
so	IN	so
she	PP	she
could	MD	could
grab	VB	grab
it	PP	it
quickly	RB	quickly
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
suddenly	RB	suddenly
took	VBD	take
those	DT	those
first	JJ	first
steps	NNS	step
,	,	,
she	PP	she
was	VBD	be
right	RB	right
there	RB	there
,	,	,
at	IN	at
the	DT	the
door	NN	door
,	,	,
with	IN	with
the	DT	the
camera	NN	camera
ready	JJ	ready
,	,	,
and	CC	and
managed	VBD	manage
to	TO	to
film	VB	film
you	PP	you
walking	VBG	walk
for	IN	for
the	DT	the
very	RB	very
first	JJ	first
time	NN	time
.	SENT	.
