Lois	NP	Lois
had	VBD	have
them	PP	them
,	,	,
I	PP	I
think	VBP	think
–	:	-
you	PP	you
probably	RB	probably
were	VBD	be
n’t	RB	n't
there	RB	there
for	IN	for
those	DT	those
pancakes	NNS	pancake
at	IN	at
all	DT	all
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
you	PP	you
absolutely	RB	absolutely
have	VB	have
to	TO	to
come	VB	come
for	IN	for
pancakes	NNS	pancake
this	DT	this
time	NN	time
.	SENT	.
The	DT	the
first	JJ	first
one	CD	one
I	PP	I
made	VBD	make
was	VBD	be
awful	JJ	awful
,	,	,
though	RB	though
.	SENT	.
The	DT	the
pan	NN	pan
was	VBD	be
so	RB	so
hot	JJ	hot
that	IN	that
the	DT	the
plastic	JJ	plastic
spatula	NN	spatula
actually	RB	actually
melted	VBD	melt
on	IN	on
it	PP	it
,	,	,
it	PP	it
was	VBD	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
disaster	NN	disaster
.	SENT	.
But	CC	but
after	IN	after
that	WDT	that
they	PP	they
turned	VBD	turn
out	RP	out
really	RB	really
good	JJ	good
,	,	,
especially	RB	especially
with	IN	with
lemon	NN	lemon
and	CC	and
sugar	NN	sugar
on	IN	on
top	NN	top
,	,	,
really	RB	really
classic	JJ	classic
and	CC	and
simple	JJ	simple
.	SENT	.
Do	VB	do
you	PP	you
prefer	VB	prefer
them	PP	them
with	IN	with
chocolate	NN	chocolate
spread	NN	spread
instead	RB	instead
,	,	,
then	RB	then
,	,	,
is	VBZ	be
that	DT	that
more	JJR	more
your	PP$	your
thing	NN	thing
?	SENT	?
