Nan	NP	Nan
’s	VBZ	be
basically	RB	basically
running	VBG	run
out	RP	out
of	IN	of
money	NN	money
to	TO	to
pay	VB	pay
for	IN	for
the	DT	the
care	NN	care
home	NN	home
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
wondering	VBG	wonder
if	IN	if
that	WDT	that
means	VBZ	mean
it	PP	it
’ll	JJ	<unknown>
end	NN	end
up	IN	up
falling	VBG	fall
to	TO	to
the	DT	the
next	JJ	next
level	NN	level
of	IN	of
family	NN	family
to	TO	to
cover	VB	cover
it	PP	it
.	SENT	.
The	DT	the
staff	NN	staff
there	RB	there
reckon	VBP	reckon
she	PP	she
’s	VBZ	be
strong	JJ	strong
enough	RB	enough
to	TO	to
make	VB	make
it	PP	it
to	TO	to
a	DT	a
hundred	CD	hundred
and	CC	and
five	CD	five
,	,	,
but	CC	but
she	PP	she
just	RB	just
has	VBZ	have
n’t	RB	n't
got	VBN	get
the	DT	the
funds	NNS	fund
to	TO	to
stay	VB	stay
there	RB	there
that	IN	that
long	RB	long
on	IN	on
her	PP$	her
own	JJ	own
.	SENT	.
I	PP	I
’ve	VBP	have
been	VBN	be
trying	VBG	try
to	TO	to
work	VB	work
out	RP	out
what	WP	what
it	PP	it
costs	VBZ	cost
:	:	:
it	PP	it
’s	VBZ	be
around	IN	around
eight	CD	eight
or	CC	or
nine	CD	nine
hundred	CD	hundred
quid	NNS	quid
a	DT	a
week	NN	week
,	,	,
something	NN	something
like	IN	like
that	DT	that
,	,	,
and	CC	and
she	PP	she
does	VBZ	do
get	VB	get
some	DT	some
sort	NN	sort
of	IN	of
grant	NN	grant
towards	IN	towards
it	PP	it
,	,	,
but	CC	but
even	RB	even
so	RB	so
it	PP	it
’s	VBZ	be
a	DT	a
huge	JJ	huge
amount	NN	amount
every	DT	every
year	NN	year
.	SENT	.
