My	PP$	my
view	NN	view
is	VBZ	be
that	IN	that
if	IN	if
you	PP	you
ca	MD	ca
n’t	RB	n't
present	VB	present
a	DT	a
business	NN	business
case	NN	case
in	IN	in
ten	CD	ten
minutes	NNS	minute
,	,	,
you	PP	you
have	VBP	have
n’t	RB	n't
really	RB	really
thought	VBD	think
it	PP	it
through	RP	through
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
there	EX	there
are	VBP	be
situations	NNS	situation
that	WDT	that
are	VBP	be
more	RBR	more
complex	JJ	complex
and	CC	and
genuinely	RB	genuinely
need	VBP	need
more	JJR	more
time	NN	time
,	,	,
but	CC	but
as	IN	as
an	DT	an
opener	NN	opener
it	PP	it
should	MD	should
still	RB	still
be	VB	be
possible	JJ	possible
to	TO	to
get	VB	get
the	DT	the
core	NN	core
of	IN	of
it	PP	it
across	IN	across
in	IN	in
about	RB	about
ten	CD	ten
minutes	NNS	minute
.	SENT	.
To	TO	to
illustrate	VB	illustrate
what	WP	what
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
’ve	VBP	have
got	VBN	get
to	TO	to
speak	VB	speak
about	IN	about
the	DT	the
village	NN	village
traffic	NN	traffic
problems	NNS	problem
and	CC	and
the	DT	the
new	JJ	new
Tesco	NP	Tesco
planning	NN	planning
application	NN	application
.	SENT	.
That	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
really	RB	really
forces	VBZ	force
you	PP	you
to	TO	to
boil	VB	boil
it	PP	it
down	RP	down
to	TO	to
the	DT	the
essentials	NNS	essential
.	SENT	.
