When	WRB	when
we	PP	we
were	VBD	be
looking	VBG	look
for	IN	for
a	DT	a
house	NN	house
,	,	,
I	PP	I
actually	RB	actually
asked	VBD	ask
her	PP	her
if	IN	if
she	PP	she
wanted	VBD	want
to	TO	to
move	VB	move
in	IN	in
with	IN	with
us	PP	us
,	,	,
because	IN	because
I	PP	I
felt	VBD	feel
really	RB	really
sorry	JJ	sorry
for	IN	for
her	PP	her
.	SENT	.
It	PP	it
was	VBD	be
around	IN	around
Christmas	NP	Christmas
and	CC	and
she	PP	she
literally	RB	literally
had	VBD	have
no	DT	no
friends	NNS	friend
to	TO	to
spend	VB	spend
it	PP	it
with	IN	with
,	,	,
so	RB	so
I	PP	I
thought	VBD	think
it	PP	it
’d	MD	will
be	VB	be
nice	JJ	nice
for	IN	for
her	PP	her
to	TO	to
be	VB	be
with	IN	with
us	PP	us
.	SENT	.
But	CC	but
she	PP	she
ended	VBD	end
up	RP	up
choosing	VBG	choose
to	TO	to
live	VB	live
with	IN	with
some	DT	some
people	NNS	people
from	IN	from
her	PP$	her
course	NN	course
instead	RB	instead
.	SENT	.
And	CC	and
then	RB	then
later	RBR	later
I	PP	I
found	VBD	find
out	IN	out
she	PP	she
was	VBD	be
living	VBG	live
with	IN	with
the	DT	the
same	JJ	same
people	NNS	people
I	PP	I
kept	VBD	keep
hearing	NN	hearing
constantly	RB	constantly
slagging	VBG	slag
her	PP	her
off	IN	off
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
