When	WRB	when
I	PP	I
finally	RB	finally
went	VBD	go
back	RB	back
after	IN	after
those	DT	those
three	CD	three
years	NNS	year
in	IN	in
the	DT	the
shop	NN	shop
,	,	,
it	PP	it
was	VBD	be
such	JJ	such
a	DT	a
change	NN	change
.	SENT	.
I	PP	I
found	VBD	find
it	PP	it
really	RB	really
mentally	RB	mentally
engaging	JJ	engaging
and	CC	and
I	PP	I
absolutely	RB	absolutely
loved	VBD	love
it	PP	it
.	SENT	.
I	PP	I
was	VBD	be
constantly	RB	constantly
busy	JJ	busy
,	,	,
always	RB	always
doing	VBG	do
something	NN	something
.	SENT	.
I	PP	I
’d	MD	will
be	VB	be
going	VBG	go
to	TO	to
the	DT	the
theatre	NN	theatre
a	DT	a
lot	NN	lot
,	,	,
and	CC	and
through	IN	through
a	DT	a
friend	NN	friend
who	WP	who
worked	VBD	work
there	EX	there
I	PP	I
’d	MD	will
end	VB	end
up	RP	up
meeting	NN	meeting
people	NNS	people
backstage	RB	backstage
,	,	,
which	WDT	which
made	VBD	make
it	PP	it
all	DT	all
feel	VBP	feel
even	RB	even
more	RBR	more
exciting	JJ	exciting
.	SENT	.
It	PP	it
really	RB	really
did	VBD	do
feel	VB	feel
like	IN	like
this	DT	this
incredibly	RB	incredibly
exciting	JJ	exciting
life	NN	life
,	,	,
always	RB	always
on	IN	on
the	DT	the
go	NN	go
,	,	,
always	RB	always
something	NN	something
new	JJ	new
happening	NN	happening
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
finished	VBD	finish
,	,	,
moved	VBD	move
to	TO	to
Cambridge	NP	Cambridge
,	,	,
and	CC	and
it	PP	it
just	RB	just
…	NN	<unknown>
stopped	VBD	stop
.	SENT	.
That	DT	that
whole	JJ	whole
exciting	JJ	exciting
lifestyle	NN	lifestyle
just	RB	just
came	VBD	come
to	TO	to
an	DT	an
abrupt	JJ	abrupt
end	NN	end
.	SENT	.
