what	WP	what
I	PP	I
'm	VBP	be
saying	VBG	say
is	VBZ	be
you	PP	you
do	VBP	do
n't	RB	n't
actually	RB	actually
tell	VB	tell
her	PP$	her
straight	JJ	straight
out	RB	out
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
look	VB	look
after	IN	after
her	PP	her
yourself	PP	yourself
,	,	,
because	IN	because
then	RB	then
she	PP	she
'll	MD	will
just	RB	just
dig	VB	dig
her	PP$	her
heels	NNS	heel
in	IN	in
and	CC	and
say	VBP	say
you	PP	you
're	VBP	be
not	RB	not
having	VBG	have
her	PP	her
,	,	,
I	PP	I
'm	VBP	be
not	RB	not
doing	VBG	do
anything	NN	anything
to	TO	to
please	VB	please
you	PP	you
.	SENT	.
You	PP	you
keep	VBP	keep
that	DT	that
bit	NN	bit
back	RB	back
.	SENT	.
You	PP	you
put	VBD	put
it	PP	it
more	RBR	more
like	JJ	like
:	:	:
“	``	"
Look	VB	look
,	,	,
I	PP	I
'm	VBP	be
getting	VBG	get
my	PP$	my
life	NN	life
together	RB	together
here	RB	here
anyway	RB	anyway
.	SENT	.
I	PP	I
'm	VBP	be
going	VBG	go
to	TO	to
rent	VB	rent
a	DT	a
flat	JJ	flat
no	DT	no
matter	NN	matter
what	WP	what
,	,	,
I	PP	I
'm	VBP	be
sorting	VBG	sort
myself	PP	myself
out	RP	out
.	SENT	.
”	''	"
Then	RB	then
you	PP	you
say	VBP	say
,	,	,
“	``	"
If	IN	if
he	PP	he
can	MD	can
really	RB	really
look	VB	look
after	IN	after
us	PP	us
,	,	,
if	IN	if
he	PP	he
can	MD	can
really	RB	really
support	VB	support
us	PP	us
properly	RB	properly
,	,	,
then	RB	then
there	EX	there
’s	VBZ	be
no	DT	no
reason	NN	reason
for	IN	for
us	PP	us
to	TO	to
move	VB	move
for	IN	for
school	NN	school
or	CC	or
work	NN	work
,	,	,
is	VBZ	be
there	RB	there
?	SENT	?
”	''	"
Just	RB	just
nice	JJ	nice
and	CC	and
calm	JJ	calm
,	,	,
so	RB	so
it	PP	it
sounds	VBZ	sound
logical	JJ	logical
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
gently	RB	gently
point	VBP	point
out	RP	out
that	IN	that
he	PP	he
obviously	RB	obviously
ca	MD	ca
n’t	RB	n't
really	RB	really
do	VB	do
that	DT	that
–	:	-
not	RB	not
in	IN	in
a	DT	a
nasty	JJ	nasty
way	NN	way
,	,	,
just	RB	just
subtle	JJ	subtle
,	,	,
like	VB	like
,	,	,
“	``	"
Well	UH	well
,	,	,
it	PP	it
does	VBZ	do
n’t	RB	n't
seem	VB	seem
to	TO	to
be	VB	be
working	VBG	work
out	RP	out
that	DT	that
way	NN	way
,	,	,
does	VBZ	do
it	PP	it
?	SENT	?
”	''	"
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
you	PP	you
explain	VBP	explain
that	IN	that
here	RB	here
she	PP	she
’d	MD	will
have	VB	have
free	JJ	free
schooling	NN	schooling
,	,	,
free	JJ	free
medical	JJ	medical
care	NN	care
,	,	,
proper	JJ	proper
fresh	JJ	fresh
air	NN	air
,	,	,
and	CC	and
a	DT	a
big	JJ	big
family	NN	family
around	IN	around
her	PP	her
.	SENT	.
So	RB	so
you	PP	you
’re	VBP	be
not	RB	not
saying	VBG	say
“	``	"
I	PP	I
want	VBP	want
her	PP	her
”	''	"
outright	RB	outright
,	,	,
you	PP	you
’re	VBP	be
just	RB	just
laying	VBG	lay
out	RP	out
that	IN	that
you	PP	you
’re	VBP	be
building	VBG	build
a	DT	a
stable	JJ	stable
life	NN	life
here	RB	here
and	CC	and
could	MD	could
give	VB	give
her	PP	her
all	RB	all
that	IN	that
if	IN	if
it	PP	it
comes	VBZ	come
to	TO	to
it	PP	it
.	SENT	.
