one	CD	one
of	IN	of
the	DT	the
old	JJ	old
boys	NNS	boy
old	JJ	old
when	WRB	when
I	PP	I
got	VBD	get
there	RB	there
erm	VB	<unknown>
we	PP	we
were	VBD	be
all	RB	all
fetching	VBG	fetch
the	DT	the
stuff	NN	stuff
down	RB	down
that	IN	that
great	RB	great
long	RB	long
those	DT	those
steps	NNS	step
going	VBG	go
all	PDT	all
the	DT	the
way	NN	way
down	RB	down
from	IN	from
the	DT	the
top	JJ	top
erm	NN	erm
put	VBD	put
the	DT	the
stuff	NN	stuff
the	DT	the
stuff	NN	stuff
in	IN	in
erm	NN	erm
and	CC	and
he	PP	he
was	VBD	be
clearing	VBG	clear
all	PDT	all
the	DT	the
grass	NN	grass
off	IN	off
the	DT	the
path	NN	path
the	DT	the
grass	NN	grass
was	VBD	be
almost	RB	almost
you	PP	you
could	MD	could
n't	RB	n't
see	VB	see
the	DT	the
path	NN	path
people	NNS	people
were	VBD	be
walking	VBG	walk
to	TO	to
the	DT	the
side	NN	side
of	IN	of
the	DT	the
path	NN	path
cos	NN	cos
the	DT	the
grass	NN	grass
was	VBD	be
all	RB	all
over	IN	over
the	DT	the
path	NN	path
and	CC	and
he	PP	he
I	PP	I
mean	VBP	mean
it	PP	it
was	VBD	be
n't	RB	n't
his	PP$	his
job	NN	job
or	CC	or
anything	NN	anything
but	CC	but
he	PP	he
s	VBP	<unknown>
I	PP	I
'd	MD	will
always	RB	always
like	VB	like
to	TO	to
do	VB	do
something	NN	something
when	WRB	when
I	PP	I
get	VBP	get
there	RB	there
and	CC	and
that	DT	that
's	VBZ	be
my	PP$	my
job	NN	job
today	NN	today
I	PP	I
'm	VBP	be
finding	VBG	find
the	DT	the
path	NN	path
and	CC	and
he	PP	he
found	VBD	find
the	DT	the
whole	JJ	whole
path	NN	path
all	RB	all
tidied	VBD	tidy
it	PP	it
all	DT	all
up	RP	up
