rever	RB	<unknown>
what	WP	what
we	PP	we
're	VBP	be
doing	VBG	do
is	VBZ	be
the	DT	the
reverse	NN	reverse
we	PP	we
're	VBP	be
not	RB	not
we	PP	we
're	VBP	be
not	RB	not
getting	VBG	get
quantity	NN	quantity
to	TO	to
start	VB	start
with	IN	with
and	CC	and
then	RB	then
condensing	VBG	condense
into	IN	into
quality	NN	quality
we	PP	we
're	VBP	be
starting	VBG	start
off	RP	off
with	IN	with
quality	NN	quality
to	TO	to
start	VB	start
with	IN	with
and	CC	and
it	PP	it
's	VBZ	be
going	VBG	go
to	TO	to
scale	VB	scale
into	IN	into
quantity	NN	quantity
we	PP	we
'll	MD	will
hopefully	RB	hopefully
without	IN	without
losing	VBG	lose
the	DT	the
quality	NN	quality
so	RB	so
rather	RB	rather
than	IN	than
editing	VBG	edit
it	PP	it
we	PP	we
're	VBP	be
gonna	VBG	gonna
be	VB	be
growing	VBG	grow
it	PP	it
so	IN	so
it	PP	it
starts	VBZ	start
with	IN	with
the	DT	the
day	NN	day
in	IN	in
the	DT	the
life	NN	life
of	IN	of
but	CC	but
in	IN	in
the	DT	the
life	NN	life
of	IN	of
knows	VBZ	know
these	DT	these
people	NNS	people
and	CC	and
these	DT	these
people	NNS	people
come	VBP	come
in	IN	in
and	CC	and
go	VBP	go
yeah	RB	yeah
I	PP	I
've	VBP	have
got	VBN	get
a	DT	a
day	NN	day
in	IN	in
the	DT	the
life	NN	life
of	IN	of
myself	PP	myself
let	VBP	let
's	VBZ	be
just	RB	just
say	VB	say
and	CC	and
then	RB	then
I	PP	I
've	VBP	have
brought	VBN	bring
these	DT	these
other	JJ	other
people	NNS	people
in	IN	in
because	IN	because
these	DT	these
people	NNS	people
are	VBP	be
in	IN	in
my	PP$	my
life	NN	life
and	CC	and
these	DT	these
are	VBP	be
the	DT	the
sort	NN	sort
of	IN	of
things	NNS	thing
we	PP	we
're	VBP	be
talking	VBG	talk
about	RB	about
at	IN	at
the	DT	the
moment	NN	moment
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
sort	NN	sort
of	IN	of
things	NNS	thing
that	IN	that
we	PP	we
wanna	VBP	wanna
try	VB	try
and	CC	and
achieve	VB	achieve
together	RB	together
and	CC	and
these	DT	these
are	VBP	be
the	DT	the
sort	NN	sort
of	IN	of
resources	NNS	resource
that	IN	that
we	PP	we
need	VBP	need
and	CC	and
then	RB	then
ah	UH	ah
that	WDT	that
's	VBZ	be
the	DT	the
key	NN	key
because	IN	because
if	IN	if
you	PP	you
start	VBP	start
to	TO	to
get	VB	get
people	NNS	people
talking	VBG	talk
about	IN	about
the	DT	the
things	NNS	thing
that	WDT	that
they	PP	they
need	VBP	need
you	PP	you
can	MD	can
start	VB	start
to	TO	to
see	VB	see
what	WP	what
resources	NNS	resource
they	PP	they
need	VBP	need
