yeah	RB	yeah
it	PP	it
's	VBZ	be
funny	JJ	funny
because	IN	because
next	JJ	next
door	NN	door
do	VBP	do
you	PP	you
remember	VBP	remember
she	PP	she
was	VBD	be
vegetarian	JJ	vegetarian
for	IN	for
years	NNS	year
and	CC	and
years	NNS	year
and	CC	and
it	PP	it
was	VBD	be
suddenly	RB	suddenly
one	CD	one
barbecue	NN	barbecue
and	CC	and
she	PP	she
went	VBD	go
I	PP	I
really	RB	really
fancy	VBP	fancy
a	DT	a
sausage	NN	sausage
you	PP	you
probably	RB	probably
do	VBP	do
n't	RB	n't
remember	VB	remember
and	CC	and
she	PP	she
just	RB	just
ate	VBD	eat
it	PP	it
and	CC	and
we	PP	we
were	VBD	be
all	DT	all
like	JJ	like
but	CC	but
you	PP	you
're	VBP	be
veg	NN	veg
you	PP	you
've	VBP	have
been	VBN	be
vegetarian	JJ	vegetarian
for	IN	for
like	IN	like
ten	CD	ten
fifteen	CD	fifteen
years	NNS	year
she	PP	she
said	VBD	say
I	PP	I
really	RB	really
fancy	VBP	fancy
a	DT	a
sausage	NN	sausage
and	CC	and
she	PP	she
ate	VBD	eat
it	PP	it
and	CC	and
after	IN	after
that	WDT	that
she	PP	she
just	RB	just
started	VBD	start
eating	VBG	eat
meat	NN	meat
and	CC	and
she	PP	she
did	VBD	do
n't	RB	n't
no	DT	no
nobody	NN	nobody
had	VBD	have
a	DT	a
problem	NN	problem
with	IN	with
it	PP	it
you	PP	you
know	VBP	know
you	PP	you
you	PP	you
can	MD	can
you	PP	you
can	MD	can
stop	VB	stop
you	PP	you
can	MD	can
start	VB	start
it	PP	it
's	VBZ	be
it	PP	it
's	VBZ	be
it	PP	it
's	VBZ	be
everybody	NN	everybody
's	POS	's
choice	NN	choice
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
weird	JJ	weird
one	CD	one
for	IN	for
her	PP	her
to	TO	to
suddenly	RB	suddenly
do	VB	do
it	PP	it
and	CC	and
we	PP	we
were	VBD	be
like	IN	like
