well	RB	well
it	PP	it
was	VBD	be
like	IN	like
yeah	RB	yeah
definitely	RB	definitely
but	CC	but
is	VBZ	be
n't	RB	n't
that	IN	that
really	RB	really
like	IN	like
strange	JJ	strange
?	SENT	?
I	PP	I
just	RB	just
do	VBP	do
n't	RB	n't
know	VB	know
what	WP	what
that	DT	that
moment	NN	moment
meant	VBD	mean
I	PP	I
like	VBP	like
always	RB	always
think	VB	think
about	IN	about
it	PP	it
and	CC	and
it	PP	it
's	VBZ	be
like	IN	like
I	PP	I
do	VBP	do
really	RB	really
regret	VB	regret
not	RB	not
saying	VBG	say
anything	NN	anything
so	RB	so
then	RB	then
at	IN	at
like	IN	like
I	PP	I
was	VBD	be
talking	VBG	talk
to	TO	to
so	RB	so
she	PP	she
like	VBP	like
I	PP	I
was	VBD	be
like	IN	like
engaged	VBN	engage
in	IN	in
a	DT	a
conversation	NN	conversation
and	CC	and
she	PP	she
like	VBP	like
did	VBD	do
n't	RB	n't
when	WRB	when
the	DT	the
conversation	NN	conversation
finished	VBD	finish
she	PP	she
just	RB	just
was	VBD	be
staring	VBG	stare
at	IN	at
me	PP	me
so	RB	so
weirdly	RB	weirdly
the	DT	the
and	CC	and
like	VB	like
we	PP	we
just	RB	just
never	RB	never
said	VBD	say
hi	UH	hi
and	CC	and
we	PP	we
it	PP	it
was	VBD	be
n't	RB	n't
friendly	JJ	friendly
it	PP	it
was	VBD	be
n't	RB	n't
like	IN	like
a	DT	a
warm	JJ	warm
feeling	NN	feeling
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
cold	NN	cold
it	PP	it
was	VBD	be
like	IN	like
it	PP	it
was	VBD	be
so	RB	so
weird	JJ	weird
it	PP	it
like	VBP	like
I	PP	I
ca	MD	ca
n't	RB	n't
describe	VB	describe
it	PP	it
