which	WDT	which
we	PP	we
can	MD	can
have	VB	have
wine	NN	wine
yeah	RB	yeah
and	CC	and
I	PP	I
put	VB	put
hi	UH	hi
duck	NN	duck
and	CC	and
then	RB	then
about	RB	about
ten	CD	ten
minutes	NNS	minute
later	RBR	later
em	NN	em
someone	NN	someone
replies	VBZ	reply
saying	VBG	say
sorry	JJ	sorry
duck	NN	duck
wrong	JJ	wrong
number	NN	number
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
my	PP$	my
god	NN	god
I	PP	I
've	VBP	have
got	VBN	get
the	DT	the
thief	NN	thief
this	DT	this
is	VBZ	be
brilliant	JJ	brilliant
I	PP	I
can	MD	can
track	VB	track
them	PP	them
down	RP	down
and	CC	and
eh	NP	eh
and	CC	and
they	PP	they
they	PP	they
said	VBD	say
and	CC	and
I	PP	I
'm	VBP	be
also	RB	also
sorry	JJ	sorry
about	IN	about
your	PP$	your
frying	VBG	fry
pan	NN	pan
I	PP	I
was	VBD	be
like	IN	like
sorry	JJ	sorry
about	IN	about
that	DT	that
em	NN	em
so	IN	so
I	PP	I
was	VBD	be
like	IN	like
eh	NNS	<unknown>
sorry	RB	sorry
who	WP	who
is	VBZ	be
this	DT	this
?	SENT	?
And	CC	and
they	PP	they
said	VBD	say
and	CC	and
in	IN	in
my	PP$	my
head	NN	head
I	PP	I
was	VBD	be
like	JJ	like
from	IN	from
Plymouth	NP	Plymouth
?	SENT	?
Like	IN	like
what	WP	what
how	WRB	how
would	MD	would
I	PP	I
have	VBP	have
got	VBN	get
his	PP$	his
number	NN	number
?	SENT	?
And	CC	and
I	PP	I
had	VBD	have
n't	RB	n't
even	RB	even
thought	VBD	think
it	PP	it
would	MD	would
be	VB	be
this	DT	this
but	RB	but
and	CC	and
so	RB	so
I	PP	I
replied	VBD	reply
and	CC	and
I	PP	I
said	VBD	say
who	WP	who
?	SENT	?
Without	IN	without
thinking	VBG	think
but	CC	but
then	RB	then
because	IN	because
but	CC	but
it	PP	it
's	VBZ	be
saved	VBN	save
as	IN	as
in	IN	in
my	PP$	my
phone	NN	phone
but	CC	but
then	RB	then
when	WRB	when
I	PP	I
looked	VBD	look
for	IN	for
Stu	NP	Stu
's	POS	's
number	NN	number
it	PP	it
's	VBZ	be
not	RB	not
in	IN	in
my	PP$	my
phone	NN	phone
so	IN	so
my	PP$	my
phone	NN	phone
is	VBZ	be
doing	VBG	do
some	DT	some
very	RB	very
interesting	JJ	interesting
things	NNS	thing
