yes	UH	yes
yeah	RB	yeah
well	RB	well
you	PP	you
know	VBP	know
ththese	JJ	<unknown>
bods	NNS	bod
are	VBP	be
too	RB	too
actually	RB	actually
and	CC	and
in	IN	in
fact	NN	fact
they	PP	they
even	RB	even
organised	VBD	organise
the	DT	the
they	PP	they
found	VBD	find
something	NN	something
something	NN	something
up	RB	up
there	RB	there
and	CC	and
and	CC	and
ththey	NP	<unknown>
organised	VBD	organise
a	DT	a
biopsy	NN	biopsy
for	IN	for
it	PP	it
so	IN	so
I	PP	I
went	VBD	go
up	RP	up
to	TO	to
the	DT	the
dental	JJ	dental
hospital	NN	hospital
and	CC	and
somebody	NN	somebody
did	VBD	do
the	DT	the
biopsy	NN	biopsy
on	IN	on
that	DT	that
erm	NN	erm
and	CC	and
again	RB	again
if	IN	if
that	DT	that
had	VBD	have
happened	VBN	happen
through	IN	through
the	DT	the
you	PP	you
know	VBP	know
the	DT	the
the	DT	the
dentist	NN	dentist
that	WDT	that
would	MD	would
have	VB	have
cost	VBN	cost
a	DT	a
heck	NN	heck
of	IN	of
a	DT	a
lot	NN	lot
that	WDT	that
was	VBD	be
quite	RB	quite
funny	JJ	funny
because	IN	because
what	WP	what
happened	VBD	happen
with	IN	with
that	IN	that
I	PP	I
mean	VBP	mean
it	PP	it
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
nothing	NN	nothing
the	DT	the
biopsy	NN	biopsy
was	VBD	be
absolutely	RB	absolutely
fine	JJ	fine
but	CC	but
it	PP	it
my	PP$	my
whole	JJ	whole
cheek	NN	cheek
swelled	VBD	swell
up	RP	up
er	NNS	<unknown>
so	RB	so
that	IN	that
I	PP	I
had	VBD	have
a	DT	a
completely	RB	completely
uneven	JJ	uneven
face	NN	face
you	PP	you
know	VBP	know
this	DT	this
is	VBZ	be
was	VBD	be
normal	JJ	normal
and	CC	and
this	DT	this
was	VBD	be
like	IN	like
a	DT	a
great	JJ	great
big	JJ	big
balloon	NN	balloon
and	CC	and
as	IN	as
it	PP	it
coincided	VBD	coincide
with	IN	with
the	DT	the
time	NN	time
when	WRB	when
I	PP	I
was	VBD	be
completely	RB	completely
bald	JJ	bald
you	PP	you
know	VBP	know
that	WDT	that
was	VBD	be
the	DT	the
only	JJ	only
time	NN	time
when	WRB	when
I	PP	I
thought	VBD	think
I	PP	I
cannot	MD	can
