oh	UH	oh
there	EX	there
's	VBZ	be
loads	NNS	load
of	IN	of
disturbing	VBG	disturb
it	PP	it
's	POS	's
like	JJ	like
wish	NN	wish
I	PP	I
could	MD	could
remember	VB	remember
them	PP	them
it	PP	it
's	VBZ	be
just	RB	just
a	DT	a
blur	NN	blur
of	IN	of
massively	RB	massively
disturbing	JJ	disturbing
stuff	NN	stuff
so	IN	so
there	EX	there
's	VBZ	be
a	DT	a
woman	NN	woman
who	WP	who
um	RB	<unknown>
tut	VBP	tut
this	DT	this
guy	NN	guy
goes	VBZ	go
to	TO	to
her	PP$	her
guest	NN	guest
house	NN	house
and	CC	and
she	PP	she
's	VBZ	be
a	DT	a
bit	NN	bit
creepy	JJ	creepy
and	CC	and
the	DT	the
basic	NN	basic
he	PP	he
discovers	VBZ	discover
at	IN	at
the	DT	the
end	NN	end
that	IN	that
she	PP	she
's	VBZ	have
been	VBN	be
like	IN	like
preser	NP	preser
like	IN	like
killing	VBG	kill
and	CC	and
preserving	VBG	preserve
all	DT	all
of	IN	of
her	PP$	her
previous	JJ	previous
lodgers	NNS	lodger
And	CC	and
she	PP	she
's	VBZ	be
got	VBN	get
all	PDT	all
these	DT	these
like	JJ	like
preserved	VBN	preserve
cats	NNS	cat
in	IN	in
her	PP$	her
living	VBG	live
room	NN	room
he	PP	he
wonders	VBZ	wonder
why	WRB	why
they	PP	they
do	VBP	do
n't	RB	n't
ever	RB	ever
move	VB	move
And	CC	and
then	RB	then
he	PP	he
realizes	VBZ	realize
they	PP	they
're	VBP	be
like	IN	like
mummified	VBN	mummify
not	RB	not
mummified	VBN	mummify
um	NNS	<unknown>
you	PP	you
know	VBP	know
like	IN	like
preserved	VBN	preserve
