yeah	RB	yeah
it	PP	it
is	VBZ	be
but	CC	but
I	PP	I
think	VBP	think
you	PP	you
should	MD	should
you	PP	you
've	VBP	have
gotta	VBN	gotta
do	VBP	do
your	PP$	your
own	JJ	own
thing	NN	thing
though	RB	though
have	VBP	have
n't	RB	n't
you	PP	you
you	PP	you
've	VBP	have
gotta	VBN	gotta
do	VB	do
what	WP	what
you	PP	you
think	VBP	think
's	VBZ	be
the	DT	the
right	JJ	right
thing	NN	thing
and	CC	and
I	PP	I
think	VBP	think
you	PP	you
ca	MD	ca
n't	RB	n't
make	VB	make
too	RB	too
much	RB	much
of	IN	of
it	PP	it
either	DT	either
way	NN	way
like	IN	like
I	PP	I
th	NN	th
I	PP	I
think	VBP	think
that	IN	that
everyone	NN	everyone
should	MD	should
have	VB	have
the	DT	the
same	JJ	same
opportunities	NNS	opportunity
and	CC	and
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
you	PP	you
should	MD	should
be	VB	be
proud	JJ	proud
or	CC	or
ashamed	JJ	ashamed
of	IN	of
what	WP	what
your	PP$	your
you	PP	you
know	VBP	know
what	WP	what
your	PP$	your
situation	NN	situation
is	VBZ	be
whether	IN	whether
you	PP	you
what	WP	what
your	PP$	your
what	WP	what
your	PP$	your
race	NN	race
is	VBZ	be
whether	IN	whether
you	PP	you
're	VBP	be
a	DT	a
woman	NN	woman
or	CC	or
a	DT	a
man	NN	man
whether	IN	whether
you	PP	you
live	VBP	live
from	IN	from
this	DT	this
pl	NN	pl
whether	IN	whether
you	PP	you
're	VBP	be
in	IN	in
this	DT	this
place	NN	place
whether	IN	whether
you	PP	you
were	VBD	be
born	VBN	bear
here	RB	here
or	CC	or
there	RB	there
or	CC	or
everywhere	RB	everywhere
like	IN	like
it	PP	it
does	VBZ	do
n't	RB	n't
matter	VB	matter
I	PP	I
think	VBP	think
everyone	NN	everyone
should	MD	should
have	VB	have
the	DT	the
same	JJ	same
