oh	UH	oh
yeah	RB	yeah
much	RB	much
too	RB	too
warm	JJ	warm
it	PP	it
's	VBZ	be
it	PP	it
was	VBD	be
a	DT	a
problem	NN	problem
actually	RB	actually
because	IN	because
although	IN	although
we	PP	we
did	VBD	do
n't	RB	n't
have	VB	have
to	TO	to
pay	VB	pay
bills	NNS	bill
where	WRB	where
we	PP	we
were	VBD	be
living	VBG	live
last	JJ	last
I	PP	I
may	MD	may
have	VB	have
mentioned	VBN	mention
this	DT	this
before	IN	before
erm	NN	erm
we	PP	we
did	VBD	do
n't	RB	n't
have	VB	have
any	DT	any
control	NN	control
over	IN	over
the	DT	the
heating	NN	heating
and	CC	and
they	PP	they
really	RB	really
te	NN	te
wracked	VBD	wrack
the	DT	the
heating	NN	heating
up	RP	up
in	IN	in
the	DT	the
whole	JJ	whole
building	NN	building
over	IN	over
winter	NN	winter
and	CC	and
I	PP	I
kind	RB	kind
of	IN	of
like	IN	like
you	PP	you
know	VBP	know
the	DT	the
air	NN	air
being	VBG	be
cold	JJ	cold
in	IN	in
winter	NN	winter
and	CC	and
then	RB	then
being	VBG	be
warm	JJ	warm
under	IN	under
the	DT	the
duvet	NN	duvet
but	CC	but
I	PP	I
had	VBD	have
to	TO	to
sleep	VB	sleep
with	IN	with
the	DT	the
fan	NN	fan
on	IN	on
in	IN	in
like	IN	like
a	DT	a
sheet	NN	sheet
we	PP	we
were	VBD	be
sleeping	VBG	sleep
in	IN	in
a	DT	a
sheet	NN	sheet
and	CC	and
fan	NN	fan
throughout	IN	throughout
the	DT	the
whole	NN	whole
of	IN	of
winter	NN	winter
because	IN	because
the	DT	the
heating	NN	heating
was	VBD	be
on	IN	on
much	RB	much
too	RB	too
hot	JJ	hot
and	CC	and
