fuck	NN	fuck
like	IN	like
you	PP	you
see	VBP	see
this	DT	this
like	JJ	like
glimpse	NN	glimpse
of	IN	of
like	JJ	like
and	CC	and
it	PP	it
and	CC	and
it	PP	it
's	VBZ	be
the	DT	the
same	JJ	same
as	IN	as
you	PP	you
it	PP	it
's	VBZ	be
like	IN	like
it	PP	it
's	VBZ	be
not	RB	not
like	IN	like
I	PP	I
do	VBP	do
n't	RB	n't
like	VB	like
him	PP	him
because	IN	because
he	PP	he
takes	VBZ	take
drugs	NNS	drug
or	CC	or
has	VBZ	have
a	DT	a
you	PP	you
know	VBP	know
like	IN	like
that	WDT	that
's	VBZ	be
got	VBN	get
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
it	PP	it
and	CC	and
like	IN	like
you	PP	you
do	VBP	do
n't	RB	n't
see	VB	see
him	PP	him
for	IN	for
a	DT	a
while	NN	while
and	CC	and
you	PP	you
sort	RB	sort
of	IN	of
forget	VB	forget
and	CC	and
then	RB	then
you	PP	you
hang	VBP	hang
out	RP	out
and	CC	and
he	PP	he
's	VBZ	be
funny	JJ	funny
and	CC	and
er	JJ	<unknown>
but	CC	but
like	IN	like
sometimes	RB	sometimes
you	PP	you
see	VBP	see
a	DT	a
glimpse	NN	glimpse
of	IN	of
like	VB	like
how	WRB	how
he	PP	he
is	VBZ	be
and	CC	and
it	PP	it
's	VBZ	be
super	NN	super
gnarly	JJ	gnarly
like	IN	like
it	PP	it
's	VBZ	be
just	RB	just
it	PP	it
's	VBZ	be
a	DT	a
bit	NN	bit
it	PP	it
's	VBZ	be
a	DT	a
bit	NN	bit
like	IN	like
sort	NN	sort
of	IN	of
disturbing	JJ	disturbing
but	CC	but
like	JJ	like
