twenty-six	NN	twenty-six
mm	NN	mm.
yeah	RB	yeah
yep	VBZ	<unknown>
you	PP	you
know	VBP	know
time	NN	time
flies	VBZ	fly
actually	RB	actually
and	CC	and
all	RB	all
look	VB	look
young	JJ	young
for	IN	for
their	PP$	their
age	NN	age
that	WDT	that
's	VBZ	be
gonna	VBG	gonna
be	VB	be
one	CD	one
day	NN	day
it	PP	it
's	VBZ	be
gonna	VBG	gonna
be	VB	be
a	DT	a
big	JJ	big
advantage	NN	advantage
I	PP	I
mean	VBP	mean
we	PP	we
always	RB	always
say	VBP	say
looks	NNS	look
twelve	NN	twelve
when	WRB	when
she	PP	she
erm	VBP	<unknown>
when	WRB	when
she	PP	she
was	VBD	be
about	IN	about
twenty-one	NN	twenty-one
it	PP	it
was	VBD	be
soon	RB	soon
after	IN	after
she	PP	she
'd	VBD	have
learnt	VBN	learn
to	TO	to
drive	VB	drive
she	PP	she
had	VBD	have
a	DT	a
a	DT	a
little	JJ	little
prang	NN	prang
in	IN	in
the	DT	the
car	NN	car
in	IN	in
and	CC	and
she	PP	she
erm	RB	<unknown>
got	VBD	get
out	RP	out
of	IN	of
the	DT	the
car	NN	car
and	CC	and
the	DT	the
people	NNS	people
got	VBD	get
out	RP	out
of	IN	of
the	DT	the
car	NN	car
and	CC	and
it	PP	it
was	VBD	be
only	RB	only
just	RB	just
like	IN	like
a	DT	a
knock	NN	knock
of	IN	of
the	DT	the
bumper	NN	bumper
the	DT	the
people	NNS	people
got	VBD	get
out	RP	out
of	IN	of
the	DT	the
car	NN	car
shouting	VBG	shout
and	CC	and
screaming	VBG	scream
at	IN	at
her	PP	her
and	CC	and
swearing	VBG	swear
at	IN	at
her	PP	her
saying	VBG	say
what	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
in	IN	in
that	DT	that
car	NN	car
you	PP	you
're	VBP	be
not	RB	not
old	JJ	old
enough	RB	enough
to	TO	to
drive	VB	drive
?	SENT	?
and	CC	and
she	PP	she
went	VBD	go
I	PP	I
am	VBP	be
I	PP	I
'm	VBP	be
twenty-one	NN	twenty-one
and	CC	and
she	PP	she
went	VBD	go
to	TO	to
come	VB	come
off	RP	off
marched	VBN	march
off	RP	off
to	TO	to
get	VB	get
all	PDT	all
her	PP$	her
documents	NNS	document
cos	NN	cos
they	PP	they
were	VBD	be
cos	NN	cos
she	PP	she
looked	VBD	look
like	IN	like
a	DT	a
twelve	NN	twelve
year	NN	year
old	JJ	old
she	PP	she
's	VBZ	be
you	PP	you
know	VBP	know
small	JJ	small
and	CC	and
she	PP	she
just	RB	just
looks	VBZ	look
twelve	NN	twelve
and	CC	and
she	PP	she
looks	VBZ	look
a	DT	a
little	JJ	little
bit	NN	bit
older	JJR	old
now	RB	now
but	CC	but
not	RB	not
a	DT	a
lot	NN	lot
and	CC	and
he	PP	he
's	VBZ	be
the	DT	the
same	JJ	same
and	CC	and
when	WRB	when
was	VBD	be
DJing	NP	<unknown>
sometimes	RB	sometimes
he	PP	he
would	MD	would
n't	RB	n't
be	VB	be
allowed	VBN	allow
in	IN	in
they	PP	they
would	MD	would
n't	RB	n't
let	VB	let
him	PP	him
in	IN	in
you	PP	you
know	VBP	know
if	IN	if
he	PP	he
had	VBD	have
n't	RB	n't
got	VBN	get
his	PP$	his
passport	NN	passport
or	CC	or
his	PP$	his
erm	NN	erm
driving	VBG	drive
licence	NN	licence
with	IN	with
him	PP	him
then	RB	then
there	EX	there
's	VBZ	have
been	VBN	be
times	NNS	time
he	PP	he
's	VBZ	have
had	VBD	have
to	TO	to
go	VB	go
home	NN	home
and	CC	and
get	VB	get
them	PP	them
when	WRB	when
he	PP	he
was	VBD	be
in	IN	in
but	CC	but
when	WRB	when
he	PP	he
's	VBZ	have
been	VBN	be
in	IN	in
different	JJ	different
towns	NNS	town
then	RB	then
he	PP	he
's	VBZ	have
not	RB	not
had	VBN	have
that	DT	that
problem	NN	problem
but	CC	but
yeah	RB	yeah
he	PP	he
had	VBD	have
to	TO	to
go	VB	go
sent	VBN	send
him	PP	him
home	NN	home
to	TO	to
get	VB	get
his	PP$	his
passport	NN	passport
once	RB	once
