oh	UH	oh
it	PP	it
's	VBZ	be
lovely	JJ	lovely
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
it	PP	it
really	RB	really
is	VBZ	be
and	CC	and
I	PP	I
I	PP	I
actually	RB	actually
approached	VBD	approach
the	DT	the
library	NN	library
long	RB	long
before	IN	before
I	PP	I
got	VBD	get
interested	JJ	interested
in	IN	in
this	DT	this
I	PP	I
approached	VBD	approach
the	DT	the
library	NN	library
in	IN	in
and	CC	and
asked	VBD	ask
them	PP	them
if	IN	if
erm	NN	erm
if	IN	if
I	PP	I
could	MD	could
run	VB	run
the	DT	the
art	NN	art
of	IN	of
conversation	NN	conversation
classes	NNS	class
and	CC	and
erm	NN	erm
what	WP	what
we	PP	we
would	MD	would
do	VB	do
is	VBZ	be
just	RB	just
sit	VB	sit
down	RP	down
and	CC	and
choose	VB	choose
a	DT	a
topic	NN	topic
or	CC	or
several	JJ	several
topics	NNS	topic
depending	VBG	depend
on	IN	on
which	WDT	which
one	PP	one
wore	VBD	wear
out	RP	out
the	DT	the
quickest	JJS	quick
and	CC	and
talk	VB	talk
about	IN	about
it	PP	it
because	IN	because
there	EX	there
were	VBD	be
an	DT	an
awful	JJ	awful
lot	NN	lot
of	IN	of
people	NNS	people
around	IN	around
who	WP	who
want	VBP	want
to	TO	to
have	VB	have
a	DT	a
conversation	NN	conversation
but	CC	but
when	WRB	when
you	PP	you
're	VBP	be
in	IN	in
a	DT	a
a	DT	a
partnership	NN	partnership
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
you	PP	you
sort	VBP	sort
of	IN	of
almost	RB	almost
become	VBN	become
the	DT	the
other	JJ	other
person	NN	person
you	PP	you
were	VBD	be
actually	RB	actually
thinking	VBG	think
what	WP	what
they	PP	they
're	VBP	be
thinking	VBG	think
and	CC	and
you	PP	you
actually	RB	actually
do	VBP	do
n't	RB	n't
have	VB	have
as	RB	as
good	JJ	good
a	DT	a
conversation	NN	conversation
as	IN	as
you	PP	you
might	MD	might
do	VB	do
with	IN	with
a	DT	a
stranger	NN	stranger
which	WDT	which
is	VBZ	be
obvious	JJ	obvious
really	RB	really
you	PP	you
do	VBP	do
n't	RB	n't
know	VB	know
the	DT	the
stranger	NN	stranger
do	VBP	do
you	PP	you
?	SENT	?
