hi	UH	hi
Alright	RB	alright
well	RB	well
that	DT	that
's	VBZ	be
fine	NN	fine
I	PP	I
've	VBP	have
left	VBN	leave
it	PP	it
out	RP	out
in	IN	in
the	DT	the
hall	NN	hall
for	IN	for
you	PP	you
so	RB	so
just	RB	just
come	VB	come
and	CC	and
get	VB	get
it	PP	it
whenever	WRB	whenever
is	VBZ	be
convenient	JJ	convenient
no	RB	no
she	PP	she
's	VBZ	be
still	RB	still
at	IN	at
work	VB	work
she	PP	she
working	VBG	work
late	RB	late
this	DT	this
week	NN	week
I	PP	I
think	VBP	think
she	PP	she
finishes	VBZ	finish
about	RB	about
six	CD	six
but	CC	but
then	RB	then
she	PP	she
goes	VBZ	go
running	VBG	run
after	IN	after
work	NN	work
she	PP	she
is	VBZ	be
keep	VB	keep
fit	NN	fit
yeah	RB	yeah
do	VBP	do
you	PP	you
want	VBP	want
me	PP	me
to	TO	to
get	VB	get
her	PP	her
to	TO	to
call	VB	call
you	PP	you
?	SENT	?
Okay	JJ	okay
oh	UH	oh
yeah	RB	yeah
okay	JJ	okay
so	IN	so
it	PP	it
's	VBZ	be
just	RB	just
whether	IN	whether
that	DT	that
's	VBZ	be
a	DT	a
good	JJ	good
day	NN	day
?	SENT	?
So	RB	so
so	RB	so
they	PP	they
were	VBD	be
going	VBG	go
to	TO	to
do	VB	do
it	PP	it
during	IN	during
the	DT	the
day	NN	day
okay	JJ	okay
mm	NN	mm.
hm	NN	hm
it	PP	it
's	VBZ	be
strangers	NNS	stranger
okay	RB	okay
and	CC	and
how	WRB	how
long	RB	long
do	VBP	do
you	PP	you
think	VBP	think
it	PP	it
will	MD	will
take	VB	take
?	SENT	?
Do	VB	do
you	PP	you
think	VB	think
?	SENT	?
Half	PDT	half
a	DT	a
day	NN	day
okay	NN	okay
that	WDT	that
's	VBZ	be
fine	JJ	fine
I	PP	I
'll	MD	will
let	VB	let
her	PP	her
know	VB	know
and	CC	and
I	PP	I
'll	MD	will
get	VB	get
her	PP	her
to	TO	to
call	VB	call
you	PP	you
I	PP	I
'll	MD	will
get	VB	get
I	PP	I
'm	VBP	be
not	RB	not
sure	JJ	sure
she	PP	she
's	VBZ	be
got	VBN	get
credit	NN	credit
on	IN	on
the	DT	the
phone	NN	phone
so	RB	so
if	IN	if
not	RB	not
I	PP	I
'll	MD	will
get	VB	get
her	PP	her
to	TO	to
call	VB	call
you	PP	you
on	IN	on
my	PP$	my
phone	VB	phone
oh	UH	oh
okay	RB	okay
I	PP	I
'll	MD	will
em	NN	em
I	PP	I
'll	MD	will
speak	VB	speak
to	TO	to
her	PP	her
about	IN	about
it	PP	it
then	RB	then
and	CC	and
I	PP	I
'll	MD	will
let	VB	let
you	PP	you
know	VB	know
or	CC	or
she	PP	she
'll	MD	will
let	VB	let
you	PP	you
know	VB	know
alright	RB	alright
thanks	NNS	thanks
speak	VBP	speak
to	TO	to
you	PP	you
later	JJR	late
bye	NN	bye
