oh	UH	oh
yeah	RB	yeah
well	RB	well
there	RB	there
it	PP	it
was	VBD	be
always	RB	always
helter	JJ	<unknown>
skelter	NN	<unknown>
hustle	NN	hustle
bustle	NN	bustle
and	CC	and
you	PP	you
know	VBP	know
busy	JJ	busy
streets	NNS	street
lot	NN	lot
of	IN	of
noise	NN	noise
whereas	IN	whereas
out	RB	out
here	RB	here
it	PP	it
's	VBZ	be
all	DT	all
very	RB	very
calm	JJ	calm
and	CC	and
relaxed	VBD	relax
it	PP	it
's	VBZ	be
a	DT	a
lot	RB	lot
easier	JJR	easy
to	TO	to
get	VB	get
to	TO	to
em	NN	em
yeah	RB	yeah
if	IN	if
we	PP	we
go	VBP	go
into	IN	into
town	NN	town
or	CC	or
whatever	WDT	whatever
you	PP	you
know	VBP	know
well	RB	well
if	IN	if
it	PP	it
's	VBZ	be
during	IN	during
the	DT	the
day	NN	day
we	PP	we
get	VBP	get
a	DT	a
bus	NN	bus
but	CC	but
if	IN	if
we	PP	we
're	VBP	be
going	VBG	go
in	IN	in
for	IN	for
a	DT	a
you	PP	you
know	VBP	know
going	VBG	go
to	TO	to
the	DT	the
bar	NN	bar
or	CC	or
something	NN	something
in	IN	in
the	DT	the
evening	NN	evening
or	CC	or
something	NN	something
it	PP	it
's	VBZ	be
what	WP	what
?	SENT	?
Twelve	CD	twelve
quid	NN	quid
or	CC	or
something	NN	something
for	IN	for
a	DT	a
taxi	NN	taxi
which	WDT	which
is	VBZ	be
nothing	NN	nothing
in	IN	in
the	DT	the
grand	JJ	grand
scheme	NN	scheme
of	IN	of
things	NNS	thing
you	PP	you
know	VBP	know
it	PP	it
's	VBZ	be
a	DT	a
few	JJ	few
pints	NNS	pint
of	IN	of
beer	NN	beer
