you	PP	you
know	VBP	know
and	CC	and
I	PP	I
was	VBD	be
speaking	VBG	speak
to	TO	to
about	RB	about
is	VBZ	be
he	PP	he
gonna	VBG	gonna
do	VB	do
the	DT	the
stable	JJ	stable
block	NN	block
?	SENT	?
who	WP	who
's	VBZ	be
gonna	VBG	gonna
do	VB	do
the	DT	the
stables	NNS	stable
?	SENT	?
and	CC	and
he	PP	he
went	VBD	go
well	RB	well
that	DT	that
's	VBZ	be
part	NN	part
of	IN	of
the	DT	the
reason	NN	reason
why	WRB	why
we	PP	we
moved	VBD	move
here	RB	here
but	CC	but
we	PP	we
're	VBP	be
waiting	VBG	wait
for	IN	for
some	DT	some
more	JJR	more
cash	NN	cash
to	TO	to
come	VB	come
in	IN	in
for	IN	for
the	DT	the
thing	NN	thing
and	CC	and
he	PP	he
's	VBZ	be
not	RB	not
very	RB	very
well	RB	well
cos	NN	cos
he	PP	he
must	MD	must
've	VB	have
had	VBN	have
ano	NN	ano
he	PP	he
must	MD	must
've	VB	have
been	VBN	be
ill	JJ	ill
again	RB	again
recently	RB	recently
cos	NN	cos
he	PP	he
was	VBD	be
ill	JJ	ill
before	IN	before
Christmas	NP	Christmas
and	CC	and
then	RB	then
he	PP	he
was	VBD	be
ill	RB	ill
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
ago	RB	ago
so	RB	so
I	PP	I
had	VBD	have
n't	RB	n't
seen	VBN	see
him	PP	him
and	CC	and
er	NNS	<unknown>
when	WRB	when
I	PP	I
was	VBD	be
waiting	VBG	wait
for	IN	for
on	IN	on
Fri	NP	Fri
Saturday	NP	Saturday
afternoon	NN	afternoon
he	PP	he
saw	VBD	see
he	PP	he
waved	VBD	wave
me	PP	me
come	VBP	come
over	RP	over
here	RB	here
oh	UH	oh
come	VB	come
and	CC	and
have	VBP	have
a	DT	a
coffee	NN	coffee
come	VB	come
and	CC	and
have	VBP	have
a	DT	a
coffee	NN	coffee
so	IN	so
I	PP	I
went	VBD	go
in	IN	in
and	CC	and
had	VBD	have
a	DT	a
coffee	NN	coffee
with	IN	with
him	PP	him
and	CC	and
we	PP	we
got	VBD	get
chatting	VBG	chat
type	NN	type
thing	NN	thing
and	CC	and
he	PP	he
says	VBZ	say
oh	UH	oh
I	PP	I
've	VBP	have
had	VBD	have
a	DT	a
demotion	NN	demotion
at	IN	at
work	NN	work
he	PP	he
said	VBD	say
but	CC	but
they	PP	they
're	VBP	be
keeping	VBG	keep
me	PP	me
on	IN	on
the	DT	the
same	JJ	same
money	NN	money
he	PP	he
says	VBZ	say
because	IN	because
I	PP	I
s	VBZ	<unknown>
I	PP	I
hahad	NN	<unknown>
to	TO	to
have	VB	have
some	DT	some
time	NN	time
off	RB	off
again	RB	again
I	PP	I
went	VBD	go
oh	UH	oh
what	WP	what
I	PP	I
said	VBD	say
that	WDT	that
's	VBZ	be
not	RB	not
your	PP$	your
fault	NN	fault
is	VBZ	be
it	PP	it
?	SENT	?
I	PP	I
said	VBD	say
that	WDT	that
's	VBZ	be
just	RB	just
your	PP$	your
condition	NN	condition
and	CC	and
I	PP	I
think	VBP	think
he	PP	he
's	VBZ	have
got	VBN	get
I	PP	I
think	VBP	think
he	PP	he
has	VBZ	have
cystic	JJ	cystic
fibrosis	NN	fibrosis
