Cos	NP	Cos
the	DT	the
implica	NN	implica
the	DT	the
implication	NN	implication
in	IN	in
there	EX	there
is	VBZ	be
that	DT	that
em	NN	em
like	IN	like
someone	NN	someone
as	RB	as
though	IN	though
they	PP	they
were	VBD	be
previously	RB	previously
not	RB	not
doing	VBG	do
that	IN	that
and	CC	and
so	RB	so
someone	NN	someone
's	POS	's
gone	VBN	go
guys	NNS	guy
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
wrong	JJ	wrong
I	PP	I
think	VBP	think
what	WP	what
people	NNS	people
want	VBP	want
is	VBZ	be
for	IN	for
us	PP	us
to	TO	to
change	VB	change
our	PP$	our
policy	NN	policy
Yes	NN	yes
you	PP	you
're	VBP	be
right	RB	right
let	VB	let
's	VBZ	be
change	VB	change
it	PP	it
and	CC	and
then	RB	then
let	VB	let
everyone	NN	everyone
know	VBP	know
that	IN	that
we	PP	we
've	VBP	have
changed	VBN	change
our	PP$	our
policy	NN	policy
to	TO	to
the	DT	the
better	RBR	well
one	PP	one
yes	RB	yes
let	VB	let
's	VBZ	be
do	VB	do
that	IN	that
because	IN	because
we	PP	we
are	VBP	be
a	DT	a
conscientious	JJ	conscientious
company	NN	company
Whereas	IN	whereas
actually	RB	actually
is	VBZ	be
them	PP	them
going	VBG	go
what	WP	what
can	MD	can
we	PP	we
say	VBP	say
that	IN	that
we	PP	we
already	RB	already
did	VBD	do
?	SENT	?
Basically	RB	basically
not	RB	not
invest	VB	invest
at	IN	at
all	DT	all
but	CC	but
make	VBP	make
more	JJR	more
money	NN	money
mm	NN	mm.
well	RB	well
