so	RB	so
we	PP	we
're	VBP	be
looking	VBG	look
all	RB	all
over	IN	over
we	PP	we
're	VBP	be
trying	VBG	try
her	PP$	her
bag	NN	bag
and	CC	and
er	NN	er
we	PP	we
're	VBP	be
trying	VBG	try
er	JJ	<unknown>
erm	NN	erm
and	CC	and
then	RB	then
her	PP$	her
friend	NN	friend
said	VBD	say
well	RB	well
well	RB	well
er	JJ	<unknown>
well	RB	well
perhaps	RB	perhaps
I	PP	I
'll	MD	will
see	VB	see
if	IN	if
I	PP	I
've	VBP	have
put	VBN	put
it	PP	it
in	IN	in
mine	NN	mine
no	RB	no
it	PP	it
's	VBZ	be
not	RB	not
you	PP	you
know	VBP	know
and	CC	and
she	PP	she
said	VBD	say
well	RB	well
it	PP	it
was	VBD	be
there	RB	there
and	CC	and
I	PP	I
remember	VBP	remember
it	PP	it
was	VBD	be
there	RB	there
cos	NN	cos
she	PP	she
was	VBD	be
looking	VBG	look
at	IN	at
it	PP	it
it	PP	it
where	WRB	where
have	VBP	have
you	PP	you
bee	NN	bee
where	WRB	where
's	VBZ	be
your	PP$	your
tra	NNS	<unknown>
where	WRB	where
's	VBZ	be
your	PP$	your
where	WRB	where
did	VBD	do
you	PP	you
put	VBD	put
your	PP$	your
erm	NN	erm
tray	NN	tray
?	SENT	?
said	VBD	say
well	RB	well
it	PP	it
was	VBD	be
n't	RB	n't
on	IN	on
my	PP$	my
tray	NN	tray
it	PP	it
was	VBD	be
on	IN	on
the	DT	the
table	NN	table
but	CC	but
she	PP	she
must	MD	must
have	VB	have
put	VBN	put
it	PP	it
on	IN	on
the	DT	the
tray	NN	tray
and	CC	and
taken	VBN	take
it	PP	it
up	RP	up
to	TO	to
put	VB	put
away	RP	away
