yes	UH	yes
yeah	RB	yeah
and	CC	and
erm	RB	<unknown>
he	PP	he
meets	VBZ	meet
a	DT	a
lady	NN	lady
St	NP	St
Bernard	NP	Bernard
and	CC	and
they	PP	they
end	VBP	end
up	IN	up
having	VBG	have
puppies	NNS	puppy
that	WDT	that
come	VBP	come
and	CC	and
and	CC	and
stay	VB	stay
in	IN	in
the	DT	the
house	NN	house
erm	NN	erm
er	NN	er
god	NN	god
Holly	NP	Holly
the	DT	the
dog	NN	dog
not	RB	not
the	DT	the
child	NN	child
the	DT	the
dog	NN	dog
not	RB	not
the	DT	the
child	NN	child
was	VBD	be
on	IN	on
the	DT	the
sofa	NN	sofa
sitting	VBG	sit
between	IN	between
me	PP	me
and	CC	and
and	CC	and
all	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
they	PP	they
were	VBD	be
like	JJ	like
that	IN	that
we	PP	we
could	MD	could
see	VB	see
her	PP$	her
looking	VBG	look
round	NN	round
the	DT	the
room	NN	room
cos	NN	cos
one	CD	one
of	IN	of
these	DT	these
puppies	NNS	puppy
was	VBD	be
was	VBD	be
was	VBD	be
ewling	VBG	<unknown>
she	PP	she
was	VBD	be
looking	VBG	look
round	NN	round
and	CC	and
she	PP	she
zoned	VBD	zone
in	IN	in
on	IN	on
the	DT	the
television	NN	television
and	CC	and
she	PP	she
did	VBD	do
not	RB	not
take	VB	take
her	PP$	her
eyes	NNS	eye
of	IN	of
the	DT	the
TV	NN	TV
until	IN	until
the	DT	the
film	NN	film
had	VBD	have
finished	VBN	finish
once	RB	once
she	PP	she
'd	VBD	have
realised	VBN	realise
that	IN	that
the	DT	the
noise	NN	noise
was	VBD	be
coming	VBG	come
from	IN	from
the	DT	the
TV	NN	TV
she	PP	she
was	VBD	be
just	RB	just
fascinated	VBN	fascinate
with	IN	with
it	PP	it
all	PDT	all
these	DT	these
little	JJ	little
puppy	NN	puppy
sounds	VBZ	sound
it	PP	it
was	VBD	be
sweet	JJ	sweet
