no	RB	no
I	PP	I
do	VBP	do
n't	RB	n't
mind	VB	mind
living	VBG	live
with	IN	with
my	PP$	my
mum	NN	mum
and	CC	and
dad	NN	dad
it	PP	it
's	VBZ	be
just	RB	just
like	JJ	like
because	IN	because
they	PP	they
're	VBP	be
all	RB	all
they	PP	they
're	VBP	be
awaaway	JJ	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
time	NN	time
in	IN	in
the	DT	the
daytime	JJ	daytime
cos	NN	cos
they	PP	they
work	VBP	work
or	CC	or
or	CC	or
sleep	VB	sleep
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
time	NN	time
I	PP	I
'm	VBP	be
just	RB	just
on	IN	on
my	PP$	my
own	JJ	own
and	CC	and
it	PP	it
gets	VBZ	get
a	DT	a
bit	NN	bit
kind	NN	kind
of	IN	of
I	PP	I
've	VBP	have
I	PP	I
drive	VBP	drive
myself	PP	myself
a	DT	a
bit	NN	bit
crazy	JJ	crazy
just	RB	just
looking	VBG	look
applying	VBG	apply
for	IN	for
jobs	NNS	job
and	CC	and
then	RB	then
applying	VBG	apply
for	IN	for
another	DT	another
job	NN	job
and	CC	and
then	RB	then
applying	VBG	apply
for	IN	for
another	DT	another
job	NN	job
and	CC	and
it	PP	it
's	VBZ	be
just	RB	just
like	IN	like
I	PP	I
go	VBP	go
a	DT	a
bit	NN	bit
like	IN	like
ah	UH	ah
I	PP	I
need	VBP	need
to	TO	to
get	VB	get
out	RP	out
of	IN	of
the	DT	the
house	NN	house
so	RB	so
on	IN	on
Friday	NP	Friday
I	PP	I
went	VBD	go
to	TO	to
with	IN	with
erm	NN	erm
cos	NN	cos
was	VBD	be
down	RB	down
visiting	VBG	visit
her	PP$	her
friends	NNS	friend
who	WP	who
go	VBP	go
to	TO	to
university	NN	university
and	CC	and
so	RB	so
she	PP	she
was	VBD	be
going	VBG	go
out	RP	out
with	IN	with
them	PP	them
and	CC	and
she	PP	she
invited	VBD	invite
me	PP	me
along	IN	along
cos	NN	cos
obviously	RB	obviously
I	PP	I
do	VBP	do
n't	RB	n't
live	VB	live
far	RB	far
and	CC	and
so	RB	so
I	PP	I
went	VBD	go
to	TO	to
erm	VB	<unknown>
out	RP	out
with	IN	with
her	PP	her
and	CC	and
her	PP$	her
friends	NNS	friend
in	IN	in
