Cos	NP	Cos
you	PP	you
then	RB	then
you	PP	you
need	VBP	need
a	DT	a
big	JJ	big
space	NN	space
between	IN	between
each	DT	each
of	IN	of
them	PP	them
the	DT	the
broccolis	NNS	broccoli
we	PP	we
're	VBP	be
go	JJ	go
we	PP	we
're	VBP	be
getting	VBG	get
a	DT	a
greenhouse	NN	greenhouse
so	IN	so
we	PP	we
'll	MD	will
probably	RB	probably
put	VB	put
the	DT	the
lettuces	NNS	lettuce
in	IN	in
there	RB	there
um	JJ	<unknown>
because	IN	because
um	JJ	<unknown>
last	JJ	last
year	NN	year
we	PP	we
grew	VBD	grow
those	DT	those
cauliflowers	NNS	cauliflower
and	CC	and
they	PP	they
started	VBD	start
off	RP	off
with	IN	with
a	DT	a
a	DT	a
fist-size	JJ	<unknown>
ball	NN	ball
and	CC	and
they	PP	they
were	VBD	be
so	RB	so
healthy	JJ	healthy
white	JJ	white
and	CC	and
we	PP	we
'd	VBD	have
got	VBN	get
all	PDT	all
these	DT	these
slug	NN	slug
pellets	NNS	pellet
round	VBP	round
them	PP	them
but	CC	but
we	PP	we
did	VBD	do
n't	RB	n't
realize	VB	realize
that	IN	that
the	DT	the
danger	NN	danger
came	VBD	come
from	IN	from
overhead	RB	overhead
the	DT	the
caterpillars	NNS	caterpillar
the	DT	the
cabbage	NN	cabbage
whites	NNS	white
lay	VBD	lie
their	PP$	their
eggs	NNS	egg
all	RB	all
over	IN	over
it	PP	it
and	CC	and
they	PP	they
were	VBD	be
totally	RB	totally
ruined	VBN	ruin
cauliflowers	NNS	cauliflower
broccolis	NNS	broccoli
the	DT	the
lot	NN	lot
went	VBD	go
into	IN	into
the	DT	the
bin	NN	bin
