yes	UH	yes
college	NN	college
of	IN	of
higher	JJR	high
education	NN	education
was	VBD	be
quite	RB	quite
common	JJ	common
but	CC	but
the	DT	the
the	DT	the
tthe	JJ	<unknown>
principle	NN	principle
of	IN	of
I	PP	I
mean	VBP	mean
there	EX	there
's	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
theories	NNS	theory
that	IN	that
we	PP	we
work	VBP	work
to	TO	to
I	PP	I
s	VBZ	<unknown>
there	EX	there
's	VBZ	be
probably	RB	probably
three	CD	three
or	CC	or
four	CD	four
different	JJ	different
basic	JJ	basic
theories	NNS	theory
of	IN	of
careers	NNS	career
guidance	NN	guidance
which	WDT	which
is	VBZ	be
about	RB	about
how	WRB	how
yo	NN	yo
what	WP	what
is	VBZ	be
the	DT	the
theory	NN	theory
behind	IN	behind
how	WRB	how
people	NNS	people
get	VBP	get
to	TO	to
a	DT	a
decision	NN	decision
erm	NN	erm
and	CC	and
erm	NN	erm
you	PP	you
know	VBP	know
there	EX	there
's	VBZ	be
a	DT	a
psychologically	RB	psychologically
based	VBN	base
theory	NN	theory
which	WDT	which
is	VBZ	be
theoretically	RB	theoretically
what	WP	what
we	PP	we
'd	VBD	have
all	DT	all
work	NN	work
to	TO	to
which	WDT	which
is	VBZ	be
psychological	JJ	psychological
basically	RB	basically
which	WDT	which
is	VBZ	be
saying	VBG	say
that	IN	that
making	VBG	make
the	DT	the
assumption	NN	assumption
that	IN	that
once	RB	once
you	PP	you
've	VBP	have
got	VBN	get
a	DT	a
certain	JJ	certain
academic	JJ	academic
achievement	NN	achievement
then	RB	then
it	PP	it
in	IN	in
effect	NN	effect
gives	VBZ	give
you	PP	you
an	DT	an
independence	NN	independence
so	IN	so
you	PP	you
can	MD	can
base	VB	base
a	DT	a
decision	NN	decision
on	IN	on
your	PP$	your
own	JJ	own
skills	NNS	skill
your	PP$	your
own	JJ	own
values	NNS	value
your	PP$	your
own	JJ	own
sets	NNS	set
of	IN	of
interests	NNS	interest
and	CC	and
so	RB	so
I	PP	I
mean	VBP	mean
that	WDT	that
was	VBD	be
the	DT	the
the	DT	the
sort	NN	sort
of	IN	of
core	JJ	core
assumption	NN	assumption
that	IN	that
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
career	NN	career
services	NNS	service
would	MD	would
be	VB	be
based	VBN	base
on	RP	on
but	CC	but
you	PP	you
had	VBD	have
to	TO	to
be	VB	be
aware	JJ	aware
with	IN	with
students	NNS	student
that	IN	that
you	PP	you
would	MD	would
also	RB	also
come	VB	come
across	IN	across
students	NNS	student
who	WP	who
were	VBD	be
going	VBG	go
to	TO	to
be	VB	be
making	VBG	make
a	DT	a
decision	NN	decision
on	IN	on
another	DT	another
basis	NN	basis
erm	NN	erm
