who	WP	who
each	DT	each
each	DT	each
individual	JJ	individual
tribe	NN	tribe
of	IN	of
like	IN	like
fifty	CD	fifty
people	NNS	people
would	MD	would
have	VB	have
their	PP$	their
own	JJ	own
language	NN	language
but	CC	but
now	RB	now
it	PP	it
's	VBZ	be
like	IN	like
there	EX	there
's	VBZ	be
there	EX	there
's	VBZ	be
more	JJR	more
of	IN	of
a	DT	a
there	RB	there
's	VBZ	be
a	DT	a
there	RB	there
's	VBZ	be
a	DT	a
not	RB	not
a	DT	a
desire	NN	desire
but	CC	but
there	EX	there
's	VBZ	be
there	EX	there
's	VBZ	be
benefits	NNS	benefit
like	IN	like
for	IN	for
example	NN	example
in	IN	in
like	JJ	like
erm	NN	erm
Papua	NP	Papua
New	NP	New
Guinea	NP	Guinea
there	RB	there
's	VBZ	be
there	EX	there
's	VBZ	be
still	RB	still
lots	NNS	lot
of	IN	of
individual	JJ	individual
languages	NNS	language
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
are	VBP	be
dying	VBG	die
out	RP	out
because	IN	because
people	NNS	people
view	VBP	view
like	IN	like
Spanish	NP	Spanish
or	CC	or
English	NP	English
or	CC	or
like	IN	like
the	DT	the
the	DT	the
national	JJ	national
language	NN	language
rather	RB	rather
than	IN	than
their	PP$	their
tribal	JJ	tribal
language	NN	language
is	VBZ	be
viewed	VBN	view
like	IN	like
with	IN	with
a	DT	a
prestige	NN	prestige
with	IN	with
higher	JJR	high
education	NN	education
higher	RBR	higher
social	JJ	social
class	NN	class
so	IN	so
that	WDT	that
's	VBZ	be
kind	NN	kind
of	IN	of
influences	NNS	influence
people	NNS	people
to	TO	to
move	VB	move
towards	IN	towards
that	IN	that
rather	RB	rather
than	IN	than
erm	NN	erm
like	IN	like
maintaining	VBG	maintain
their	PP$	their
own	JJ	own
local	JJ	local
