impossible	JJ	impossible
all	PDT	all
the	DT	the
stuff	NN	stuff
that	IN	that
I	PP	I
need	VBP	need
to	TO	to
know	VB	know
he	PP	he
was	VBD	be
like	IN	like
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
tell	VB	tell
like	IN	like
what	WP	what
cadence	NN	cadence
it	PP	it
is	VBZ	be
?	SENT	?
so	RB	so
if	IN	if
you	PP	you
say	VBP	say
it	PP	it
's	VBZ	be
a	DT	a
perfect	JJ	perfect
cadence	NN	cadence
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
say	VB	say
two	CD	two
to	TO	to
five	CD	five
or	CC	or
like	IN	like
whatever	WDT	whatever
it	PP	it
is	VBZ	be
and	CC	and
then	RB	then
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
like	VB	like
right	RB	right
right	RB	right
there	RB	there
you	PP	you
just	RB	just
need	VBP	need
to	TO	to
be	VB	be
like	VB	like
oh	UH	oh
yeah	RB	yeah
perfect	JJ	perfect
one	CD	one
to	TO	to
five	CD	five
and	CC	and
then	RB	then
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
say	VB	say
like	IN	like
erm	NN	erm
what	WP	what
else	RB	else
was	VBD	be
it	PP	it
?	SENT	?
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
need	VB	need
to	TO	to
s	RB	<unknown>
know	VB	know
the	DT	the
progression	NN	progression
so	IN	so
they	PP	they
play	VBP	play
a	DT	a
piece	NN	piece
and	CC	and
it	PP	it
progresses	VBZ	progress
and	CC	and
so	RB	so
it	PP	it
either	RB	either
progresses	VBZ	progress
like	IN	like
diminished	JJ	diminished
or	CC	or
major	JJ	major
or	CC	or
minor	JJ	minor
and	CC	and
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
tell	VB	tell
like	IN	like
