yes	UH	yes
I	PP	I
mean	VBP	mean
for	IN	for
example	NN	example
there	EX	there
was	VBD	be
a	DT	a
where	WRB	where
I	PP	I
worked	VBD	work
we	PP	we
took	VBD	take
stock	NN	stock
transfer	NN	transfer
over	IN	over
loads	NNS	load
of	IN	of
properties	NNS	property
from	IN	from
council	NN	council
and	CC	and
there	EX	there
was	VBD	be
one	CD	one
big	JJ	big
house	NN	house
that	WDT	that
was	VBD	be
housing	VBG	house
a	DT	a
family	NN	family
of	IN	of
eight	CD	eight
so	RB	so
clearly	RB	clearly
you	PP	you
know	VBP	know
worth	JJ	worth
quite	PDT	quite
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
and	CC	and
the	DT	the
amount	NN	amount
of	IN	of
our	PP$	our
chief	JJ	chief
exec	NP	exec
went	VBD	go
through	RP	through
to	TO	to
try	VB	try
and	CC	and
get	VB	get
them	PP	them
out	RP	out
so	IN	so
she	PP	she
could	MD	could
sell	VB	sell
the	DT	the
place	NN	place
I	PP	I
stopped	VBD	stop
him	PP	him
and	CC	and
told	VBD	tell
him	PP	him
look	VBP	look
what	WP	what
you	PP	you
're	VBP	be
trying	VBG	try
to	TO	to
do	VB	do
is	VBZ	be
illegal	JJ	illegal
but	CC	but
that	WDT	that
's	VBZ	be
it	PP	it
you	PP	you
know	VBP	know
once	RB	once
you	PP	you
put	VBP	put
these	DT	these
properties	NNS	property
into	IN	into
the	DT	the
hands	NNS	hand
of	IN	of
a	DT	a
chief	JJ	chief
exec	NP	exec
rather	RB	rather
than	IN	than
an	DT	an
unaccounted	JJ	unaccounted
represent	VBP	represent
er	NNS	<unknown>
sorry	RB	sorry
an	DT	an
elected	VBN	elect
representative	NN	representative
erm	NN	erm
they	PP	they
're	VBP	be
just	RB	just
thinking	VBG	think
bottom	JJ	bottom
line	NN	line
bottom	NN	bottom
line	NN	line
bottom	NN	bottom
line	NN	line
