which	WDT	which
is	VBZ	be
a	DT	a
big	JJ	big
difference	NN	difference
from	IN	from
summer	NN	summer
like	IN	like
I	PP	I
can	MD	can
if	IN	if
somebody	NN	somebody
will	MD	will
set	VB	set
me	PP	me
a	DT	a
w	NN	w
piece	NN	piece
of	IN	of
work	NN	work
I	PP	I
will	MD	will
do	VB	do
it	PP	it
I	PP	I
will	MD	will
try	VB	try
and	CC	and
do	VB	do
it	PP	it
and	CC	and
that	DT	that
is	VBZ	be
so	RB	so
different	JJ	different
from	IN	from
before	IN	before
and	CC	and
like	IN	like
I	PP	I
ca	MD	ca
n't	RB	n't
emphasise	VB	emphasise
enough	RB	enough
like	IN	like
I	PP	I
know	VBP	know
it	PP	it
's	VBZ	be
so	RB	so
hard	JJ	hard
to	TO	to
like	VB	like
want	VB	want
to	TO	to
be	VB	be
better	JJR	good
because	IN	because
that	DT	that
's	VBZ	be
like	IN	like
the	DT	the
worst	JJS	bad
thing	NN	thing
like	IN	like
you	PP	you
ca	MD	ca
n't	RB	n't
even	RB	even
see	VB	see
a	DT	a
possibility	NN	possibility
of	IN	of
it	PP	it
even	RB	even
happening	VBG	happen
but	CC	but
literally	RB	literally
you	PP	you
will	MD	will
like	VB	like
you	PP	you
will	MD	will
not	RB	not
get	VB	get
out	RP	out
of	IN	of
this	DT	this
unless	IN	unless
you	PP	you
want	VBP	want
to	TO	to
like	VB	like
actually	RB	actually
there	EX	there
's	VBZ	be
something	NN	something
like	IN	like
keeping	VBG	keep
you	PP	you
forward	RB	forward
because	IN	because
it	PP	it
does	VBZ	do
n't	RB	n't
just	RB	just
like	IN	like
it	PP	it
's	VBZ	be
not	RB	not
like	JJ	like
when	WRB	when
you	PP	you
kind	RB	kind
of	IN	of
recover	VB	recover
from	IN	from
a	DT	a
cold	NN	cold
it	PP	it
goes	VBZ	go
away	RB	away
on	IN	on
its	PP$	its
own	JJ	own
like	IN	like
you	PP	you
could	MD	could
feel	VB	feel
like	IN	like
this	DT	this
forever	NNS	forever
if	IN	if
your	PP$	your
mind	NN	mind
like	IN	like
let	VB	let
it	PP	it
you	PP	you
know	VBP	know
?	SENT	?
like	IN	like
and	CC	and
you	PP	you
've	VBP	have
gotta	VBN	gotta
like	IN	like
you	PP	you
've	VBP	have
gotta	VBN	gotta
kind	RB	kind
of	IN	of
push	VB	push
forward	RB	forward
a	DT	a
bit	NN	bit
and	CC	and
I	PP	I
know	VBP	know
it	PP	it
's	VBZ	be
so	RB	so
hard	JJ	hard
like	IN	like
it	PP	it
's	VBZ	be
horrible	JJ	horrible
but	CC	but
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
actually	RB	actually
like	VB	like
fight	VB	fight
it	PP	it
because	IN	because
and	CC	and
I	PP	I
kn	NN	kn
I	PP	I
know	VBP	know
it	PP	it
's	VBZ	be
like	IN	like
you	PP	you
've	VBP	have
got	VBN	get
no	DT	no
energy	NN	energy
and	CC	and
it	PP	it
's	VBZ	be
shit	VBN	shit
and	CC	and
it	PP	it
's	VBZ	be
horrible	JJ	horrible
but	CC	but
you	PP	you
can	MD	can
do	VB	do
it	PP	it
you	PP	you
ca	MD	ca
like	VB	like
promise	NN	promise
you	PP	you
can	MD	can
I	PP	I
believe	VB	believe
in	IN	in
you	PP	you
