why	WRB	why
because	IN	because
um	NNS	<unknown>
that	WDT	that
was	VBD	be
presumably	RB	presumably
the	DT	the
norm	NN	norm
and	CC	and
we	PP	we
know	VBP	know
there	EX	there
were	VBD	be
probably	RB	probably
well	RB	well
we	PP	we
know	VBP	know
we	PP	we
have	VBP	have
signs	NNS	sign
of	IN	of
at	IN	at
least	JJS	least
six	CD	six
of	IN	of
the	DT	the
erm	JJ	<unknown>
high	JJ	high
streets	NNS	street
still	RB	still
and	CC	and
erm	RB	<unknown>
we	PP	we
believe	VBP	believe
there	EX	there
were	VBD	be
twelve	NN	twelve
and	CC	and
in	IN	in
fact	NN	fact
the	DT	the
so	RB	so
called	VBN	call
Primpt	NP	<unknown>
Restaurant	NP	Restaurant
underneath	IN	underneath
the	DT	the
Angel	NP	Angel
Hotel	NP	Hotel
is	VBZ	be
in	IN	in
fact	NN	fact
an	DT	an
under	IN	under
croft	NN	croft
really	RB	really
erm	NN	erm
much	RB	much
ought	MD	ought
to	TO	to
whereas	IN	whereas
ours	PP	ours
has	VBZ	have
n't	RB	n't
been	VBN	be
um	JJ	<unknown>
and	CC	and
ours	PP	ours
was	VBD	be
built	VBN	build
between	IN	between
twelve	NN	twelve
fifty	CD	fifty
and	CC	and
thirteen	CD	thirteen
hundred	CD	hundred
roughly	RB	roughly
about	RB	about
then	RB	then
and	CC	and
erm	RB	<unknown>
we	PP	we
know	VBP	know
it	PP	it
was	VBD	be
built	VBN	build
as	IN	as
a	DT	a
shop	NN	shop
and	CC	and
we	PP	we
've	VBP	have
brought	VBN	bring
sides	NNS	side
of	IN	of
the	DT	the
original	JJ	original
stairs	NNS	stair
down	RB	down
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
and	CC	and
we	PP	we
have	VBP	have
the	DT	the
original	JJ	original
window	NN	window
and	CC	and
an	DT	an
original	JJ	original
beautiful	JJ	beautiful
arched	JJ	arched
little	JJ	little
doorway	NN	doorway
which	WDT	which
lead	NN	lead
led	VBD	lead
we	PP	we
think	VBP	think
to	TO	to
erm	VB	<unknown>
a	DT	a
spiral	NN	spiral
staircase	NN	staircase
but	CC	but
it	PP	it
's	VBZ	be
that	WDT	that
's	VBZ	have
been	VBN	be
ruined	VBN	ruin
and	CC	and
there	EX	there
's	VBZ	be
just	RB	just
someth	JJ	<unknown>
a	DT	a
thing	NN	thing
about	IN	about
it	PP	it
which	WDT	which
suggests	VBZ	suggest
to	TO	to
the	DT	the
experts	NNS	expert
that	IN	that
it	PP	it
was	VBD	be
or	CC	or
was	VBD	be
intended	VBN	intend
to	TO	to
be	VB	be
a	DT	a
spi	NN	spi
spiral	NN	spiral
staircase	NN	staircase
which	WDT	which
if	IN	if
so	RB	so
then	RB	then
would	MD	would
have	VB	have
led	VBN	lead
up	RP	up
to	TO	to
sh	VB	<unknown>
the	DT	the
house	NN	house
above	IN	above
