no	UH	no
'	''	'
s	NN	S
is	VBZ	be
really	RB	really
yesterday	RB	yesterday
I	PP	I
was	VBD	be
totally	RB	totally
utterly	RB	utterly
utterly	RB	utterly
freaking	VBG	freak
out	RP	out
about	IN	about
money	NN	money
because	IN	because
I	PP	I
ca	MD	ca
n't	RB	n't
get	VB	get
any	DT	any
credit	NN	credit
so	IN	so
how	WRB	how
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
survive	VB	survive
?	SENT	?
erm	NN	erm
and	CC	and
has	VBZ	have
been	VBN	be
so	RB	so
sweet	JJ	sweet
he	PP	he
's	VBZ	have
been	VBN	be
so	RB	so
sweet	JJ	sweet
it	PP	it
makes	VBZ	make
up	RP	up
for	IN	for
the	DT	the
fact	NN	fact
that	IN	that
he	PP	he
did	VBD	do
n't	RB	n't
talk	VB	talk
to	TO	to
me	PP	me
at	IN	at
the	DT	the
party	NN	party
erm	NN	erm
he	PP	he
said	VBD	say
that	IN	that
I	PP	I
do	VBP	do
n't	RB	n't
need	VB	need
to	TO	to
worry	VB	worry
about	IN	about
it	PP	it
you	PP	you
know	VBP	know
he	PP	he
's	VBZ	be
not	RB	not
gonna	VBG	gonna
let	VB	let
me	PP	me
be	VB	be
high	JJ	high
and	CC	and
dry	JJ	dry
ever	RB	ever
ever	RB	ever
ever	RB	ever
ever	RB	ever
makes	VBZ	make
me	PP	me
cry	VBP	cry
actually	RB	actually
that	DT	that
's	VBZ	be
why	WRB	why
I	PP	I
wanted	VBD	want
to	TO	to
get	VB	get
him	PP	him
a	DT	a
nice	JJ	nice
present	NN	present
but	CC	but
I	PP	I
ca	MD	ca
n't	RB	n't
get	VB	get
him	PP	him
a	DT	a
good	JJ	good
present	NN	present
compared	VBN	compare
to	TO	to
what	WP	what
his	PP$	his
wife	NN	wife
would	MD	would
get	VB	get
him	PP	him
cos	NN	cos
she	PP	she
was	VBD	be
rich	JJ	rich
and	CC	and
she	PP	she
bought	VBD	buy
him	PP	him
things	NNS	thing
like	IN	like
Rolexes	NP	Rolexes
