what	WP	what
's	VBZ	be
annoying	VBG	annoy
is	VBZ	be
that	IN	that
and	CC	and
I	PP	I
will	MD	will
buy	VB	buy
exactly	RB	exactly
the	DT	the
same	JJ	same
elelectronics	NN	elelectronics
she	PP	she
will	MD	will
treat	VB	treat
hers	PP	hers
terribly	RB	terribly
and	CC	and
I	PP	I
mean	VBP	mean
like	IN	like
she	PP	she
'll	MD	will
drop	VB	drop
it	PP	it
all	PDT	all
the	DT	the
time	NN	time
and	CC	and
scratch	VBP	scratch
it	PP	it
all	PDT	all
the	DT	the
time	NN	time
I	PP	I
treat	VBP	treat
mine	PP	mine
really	RB	really
well	RB	well
and	CC	and
mine	PP	mine
will	MD	will
break	VB	break
within	IN	within
the	DT	the
first	JJ	first
like	JJ	like
month	NN	month
or	CC	or
something	NN	something
and	CC	and
my	PP$	my
last	JJ	last
two	CD	two
MP3	NP	<unknown>
players	NNS	player
they	PP	they
had	VBD	have
the	DT	the
same	JJ	same
problem	NN	problem
the	DT	the
volume	NN	volume
function	NN	function
does	VBZ	do
n't	RB	n't
work	VB	work
so	RB	so
at	IN	at
any	DT	any
point	NN	point
it	PP	it
can	MD	can
turn	VB	turn
up	RP	up
to	TO	to
maximum	NN	maximum
or	CC	or
down	RB	down
to	TO	to
nothing	NN	nothing
just	RB	just
at	IN	at
any	DT	any
point	NN	point
it	PP	it
's	VBZ	be
really	RB	really
annoying	VBG	annoy
so	IN	so
I	PP	I
'm	VBP	be
like	JJ	like
at	IN	at
the	DT	the
gym	NN	gym
and	CC	and
then	RB	then
suddenly	RB	suddenly
my	PP$	my
music	NN	music
goes	VBZ	go
like	IN	like
really	RB	really
loud	JJ	loud
and	CC	and
I	PP	I
ca	MD	ca
n't	RB	n't
