but	CC	but
here	RB	here
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
finish	VB	finish
up	RP	up
everything	NN	everything
when	WRB	when
the	DT	the
this	NN	this
this	DT	this
advert	NN	advert
started	VBD	start
off	RP	off
with	IN	with
a	DT	a
baby	NN	baby
and	CC	and
er	NN	er
she	PP	she
was	VBD	be
feeding	VBG	feed
it	PP	it
and	CC	and
the	DT	the
little	JJ	little
heart	NN	heart
was	VBD	be
beating	VBG	beat
they	PP	they
had	VBD	have
the	DT	the
heart	NN	heart
on	IN	on
there	RB	there
all	PDT	all
the	DT	the
time	NN	time
it	PP	it
was	VBD	be
She	PP	she
was	VBD	be
and	CC	and
that	DT	that
changed	VBN	change
and	CC	and
they	PP	they
morphed	VBD	<unknown>
it	PP	it
into	IN	into
a	DT	a
a	DT	a
little	JJ	little
boy	NN	boy
and	CC	and
she	PP	she
she	PP	she
was	VBD	be
go	JJ	go
on	IN	on
eat	VB	eat
it	PP	it
eat	VB	eat
it	PP	it
all	RB	all
up	RB	up
eat	VB	eat
it	PP	it
all	DT	all
up	RP	up
and	CC	and
it	PP	it
was	VBD	be
And	CC	and
then	RB	then
it	PP	it
morphed	VBD	<unknown>
into	IN	into
a	DT	a
young	JJ	young
teenager	NN	teenager
you	PP	you
know	VBP	know
and	CC	and
she	PP	she
was	VBD	be
still	RB	still
feeding	VBG	feed
him	PP	him
come	VBP	come
on	RB	on
come	VB	come
on	IN	on
come	VBN	come
on	IN	on
you	PP	you
're	VBP	be
a	DT	a
you	PP	you
're	VBP	be
a	DT	a
growing	VBG	grow
boy	NN	boy
you	PP	you
eat	VBP	eat
this	DT	this
up	RB	up
you	PP	you
your	PP$	your
and	CC	and
he	PP	he
and	CC	and
he	PP	he
was	VBD	be
getting	VBG	get
fatter	JJR	fat
and	CC	and
fatter	JJR	fat
as	IN	as
well	RB	well
because	IN	because
they	PP	they
were	VBD	be
morphing	VBG	<unknown>
it	PP	it
that	DT	that
was	VBD	be
an	DT	an
ever	RB	ever
so	RB	so
clever	JJ	clever
advert	NN	advert
and	CC	and
oh	UH	oh
and	CC	and
he	PP	he
's	VBZ	be
up	RB	up
twenty	CD	twenty
and	CC	and
he	PP	he
went	VBD	go
