yeah	RB	yeah
I	PP	I
do	VBP	do
wonder	NN	wonder
though	IN	though
historically	RB	historically
or	CC	or
if	IN	if
we	PP	we
sort	NN	sort
of	IN	of
look	NN	look
back	RB	back
on	IN	on
this	DT	this
time	NN	time
of	IN	of
I	PP	I
suppose	VBP	suppose
for	IN	for
me	PP	me
Thatcher	NP	Thatcher
and	CC	and
Reagan	NP	Reagan
were	VBD	be
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
end	NN	end
they	PP	they
were	VBD	be
the	DT	the
epitome	NN	epitome
of	IN	of
everything	NN	everything
that	WDT	that
sucks	VBZ	suck
they	PP	they
kick-started	VBD	kick-start
the	DT	the
sort	NN	sort
of	IN	of
neoliberal	JJ	neoliberal
capitalism	NN	capitalism
that	WDT	that
's	VBZ	have
brought	VBN	bring
the	DT	the
world	NN	world
to	TO	to
its	PP$	its
knees	NNS	knee
really	RB	really
but	CC	but
I	PP	I
do	VBP	do
wonder	NN	wonder
if	IN	if
you	PP	you
need	VBP	need
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
that	DT	that
selfishness	NN	selfishness
before	IN	before
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
goes	VBZ	go
hang	VB	hang
on	IN	on
a	DT	a
minute	NN	minute
this	DT	this
really	RB	really
is	VBZ	be
n't	RB	n't
right	JJ	right
and	CC	and
I	PP	I
look	VBP	look
at	IN	at
Corbyn	NP	<unknown>
coming	VBG	come
through	IN	through
now	RB	now
who	WP	who
seems	VBZ	seem
like	IN	like
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
we	PP	we
've	VBP	have
seen	VBN	see
a	DT	a
politician	NN	politician
like	IN	like
him	PP	him
since	IN	since
possibly	RB	possibly
John	NP	John
Smith	NP	Smith
who	WP	who
I	PP	I
think	VBP	think
was	VBD	be
probably	RB	probably
murdered	VBN	murder
and	CC	and
then	RB	then
also	RB	also
erm	JJ	<unknown>
you	PP	you
have	VBP	have
got	VBN	get
that	DT	that
fella	NN	fella
in	IN	in
the	DT	the
States	NP	States
Bill	NP	Bill
Sanders	NP	Sanders
who	WP	who
has	VBZ	have
basically	RB	basically
said	VBN	say
erm	NN	erm
you	PP	you
know	VBP	know
I	PP	I
can	MD	can
win	VB	win
an	DT	an
election	NN	election
but	CC	but
I	PP	I
'm	VBP	be
not	RB	not
going	VBG	go
to	TO	to
change	VB	change
anything	NN	anything
it	PP	it
is	VBZ	be
up	RB	up
to	TO	to
you	PP	you
all	PDT	all
the	DT	the
people	NNS	people
to	TO	to
stand	VB	stand
up	RP	up
and	CC	and
fight	VB	fight
for	IN	for
what	WP	what
you	PP	you
believe	VBP	believe
in	IN	in
erm	NN	erm
I	PP	I
can	MD	can
do	VB	do
what	WP	what
I	PP	I
can	MD	can
to	TO	to
take	VB	take
the	DT	the
corruption	NN	corruption
out	RP	out
of	IN	of
politics	NNS	politics
and	CC	and
to	TO	to
start	VB	start
changing	VBG	change
the	DT	the
system	NN	system
from	IN	from
within	IN	within
but	CC	but
it	PP	it
is	VBZ	be
down	RB	down
to	TO	to
you	PP	you
take	VBP	take
some	DT	some
fucking	VBG	fuck
responsibility	NN	responsibility
and	CC	and
I	PP	I
wonder	VBP	wonder
if	IN	if
Corbyn	NP	<unknown>
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
that	DT	that
as	RB	as
well	RB	well
so	IN	so
I	PP	I
do	VBP	do
wonder	NN	wonder
and	CC	and
actually	RB	actually
I	PP	I
suppose	VBP	suppose
if	IN	if
you	PP	you
look	VBP	look
back	RB	back
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
eighties	NNS	eighty
and	CC	and
the	DT	the
collapse	NN	collapse
of	IN	of
communism	NN	communism
it	PP	it
is	VBZ	be
almost	RB	almost
like	IN	like
it	PP	it
needs	VBZ	need
to	TO	to
get	VB	get
as	RB	as
bad	JJ	bad
as	IN	as
it	PP	it
can	MD	can
possibly	RB	possibly
get	VB	get
erm	NN	erm
and	CC	and
that	IN	that
that	DT	that
sort	NN	sort
of	IN	of
that	DT	that
particular	JJ	particular
branch	NN	branch
of	IN	of
communism	NN	communism
got	VBD	get
as	RB	as
bad	JJ	bad
as	IN	as
it	PP	it
could	MD	could
possibly	RB	possibly
get	VB	get
and	CC	and
then	RB	then
it	PP	it
just	RB	just
crumbled	VBD	crumble
erm	NN	erm
in	IN	in
no	DT	no
time	NN	time
and	CC	and
I	PP	I
was	VBD	be
talking	VBG	talk
with	IN	with
about	IN	about
this	DT	this
the	DT	the
other	JJ	other
day	NN	day
