but	CC	but
anyways	RB	anyways
so	RB	so
she	PP	she
marries	VBZ	marry
he	PP	he
's	VBZ	be
she	PP	she
's	VBZ	have
gone	VBN	go
he	PP	he
's	VBZ	be
back	RB	back
in	IN	in
the	DT	the
place	NN	place
by	IN	by
himself	PP	himself
oh	UH	oh
the	DT	the
br	NN	br
the	DT	the
Hindley	NP	Hindley
the	DT	the
brother	NN	brother
Catherine	NP	Catherine
's	POS	's
brother	NN	brother
dies	VBZ	die
so	IN	so
Heathcliff	NP	Heathcliff
gets	VBZ	get
control	NN	control
over	IN	over
Wuthering	JJ	wuthering
Heights	NP	Heights
and	CC	and
now	RB	now
he	PP	he
's	VBZ	be
got	VBN	get
Wuthering	JJ	wuthering
Heights	NP	Heights
he	PP	he
's	VBZ	be
like	IN	like
yeah	RB	yeah
he	PP	he
's	VBZ	be
and	CC	and
then	RB	then
he	PP	he
's	VBZ	be
like	JJ	like
okay	RB	okay
now	RB	now
I	PP	I
need	VBP	need
to	TO	to
get	VB	get
the	DT	the
other	JJ	other
place	NN	place
now	RB	now
Catherine	NP	Catherine
is	VBZ	be
dead	RB	dead
the	DT	the
her	PP$	her
husband	NN	husband
is	VBZ	be
very	RB	very
sick	JJ	sick
I	PP	I
think	VBP	think
what	WP	what
happens	VBZ	happen
with	IN	with
the	DT	the
son	NN	son
?	SENT	?
no	RB	no
the	DT	the
daughter	NN	daughter
oh	UH	oh
then	RB	then
his	PP$	his
son	NN	son
comes	VBZ	come
back	RB	back
cos	NN	cos
his	PP$	his
cos	NN	cos
the	DT	the
wife	NN	wife
dies	VBZ	die
his	PP$	his
son	NN	son
comes	VBZ	come
back	RB	back
to	TO	to
Wuthering	JJ	wuthering
Heights	NP	Heights
first	JJ	first
time	NN	time
he	PP	he
's	VBZ	have
met	VBN	meet
his	PP$	his
dad	NN	dad
the	DT	the
son	NN	son
's	VBZ	be
very	RB	very
ill	JJ	ill
like	IN	like
he	PP	he
's	VBZ	be
always	RB	always
sick	JJ	sick
so	IN	so
and	NP	and
and	CC	and
Heathcliff	NP	Heathcliff
does	VBZ	do
n't	RB	n't
like	VB	like
him	PP	him
so	IN	so
he	PP	he
treats	VBZ	treat
him	PP	him
badly	RB	badly
he	PP	he
makes	VBZ	make
his	PP$	his
son	NN	son
marry	VB	marry
Catherine	NP	Catherine
's	POS	's
daughter	NN	daughter
right	NN	right
?	SENT	?
