no	RB	no
not	RB	not
at	IN	at
all	DT	all
I	PP	I
think	VBP	think
it	PP	it
had	VBD	have
run	VBN	run
its	PP$	its
course	NN	course
you	PP	you
know	VBP	know
I	PP	I
'd	VBD	have
been	VBN	be
there	RB	there
long	JJ	long
enough	NN	enough
and	CC	and
things	NNS	thing
were	VBD	be
changing	VBG	change
erm	NN	erm
erm	NN	erm
and	CC	and
I	PP	I
was	VBD	be
n't	RB	n't
the	DT	the
last	JJ	last
one	CD	one
of	IN	of
because	IN	because
there	EX	there
were	VBD	be
four	CD	four
of	IN	of
us	PP	us
that	WDT	that
worked	VBD	work
together	RB	together
for	IN	for
not	RB	not
for	IN	for
the	DT	the
full	JJ	full
twenty-five	JJ	<unknown>
years	NNS	year
but	CC	but
two	CD	two
of	IN	of
us	PP	us
that	WDT	that
worked	VBD	work
for	IN	for
twenty-five	JJ	<unknown>
years	NNS	year
there	RB	there
and	CC	and
one	CD	one
of	IN	of
them	PP	them
was	VBD	be
one	CD	one
of	IN	of
my	PP$	my
first	JJ	first
groups	NNS	group
of	IN	of
students	NNS	student
and	CC	and
then	RB	then
another	DT	another
one	CD	one
that	IN	that
I	PP	I
'd	VBD	have
been	VBN	be
at	IN	at
college	NN	college
with	IN	with
she	PP	she
did	VBD	do
n't	RB	n't
work	VB	work
there	RB	there
that	IN	that
long	JJ	long
but	CC	but
there	EX	there
were	VBD	be
four	CD	four
of	IN	of
us	PP	us
that	WDT	that
knew	VBD	know
each	DT	each
other	JJ	other
and	CC	and
had	VBD	have
came	NN	came
through	IN	through
roughly	RB	roughly
the	DT	the
same	JJ	same
sort	NN	sort
of	IN	of
background	NN	background
training	NN	training
and	CC	and
and	CC	and
work	VB	work
experience	NN	experience
and	CC	and
erm	NN	erm
so	IN	so
we	PP	we
worked	VBD	work
together	RB	together
for	IN	for
twenty-five	JJ	<unknown>
years	NNS	year
but	CC	but
one	CD	one
erm	NN	erm
my	PP$	my
friend	NN	friend
that	IN	that
I	PP	I
worked	VBD	work
the	DT	the
longest	JJS	long
with	IN	with
she	PP	she
erm	RB	<unknown>
went	VBD	go
she	PP	she
took	VBD	take
a	DT	a
year	NN	year
out	RP	out
and	CC	and
went	VBD	go
to	TO	to
work	VB	work
in	RP	in
and	CC	and
came	VBD	come
back	RB	back
and	CC	and
took	VBD	take
early	JJ	early
retirement	NN	retirement
so	IN	so
she	PP	she
was	VBD	be
the	DT	the
first	JJ	first
one	CD	one
out	RB	out
and	CC	and
another	DT	another
one	CD	one
that	IN	that
I	PP	I
'd	VBD	have
been	VBN	be
at	IN	at
college	NN	college
with	IN	with
she	PP	she
left	VBD	leave
to	TO	to
go	VB	go
and	CC	and
live	VB	live
in	IN	in
erm	NN	erm
and	CC	and
then	RB	then
that	WDT	that
left	VBD	leave
myself	PP	myself
and	CC	and
that	DT	that
was	VBD	be
my	PP$	my
ex-student	NN	ex-student
and	CC	and
erm	NN	erm
I	PP	I
had	VBD	have
the	DT	the
opportunity	NN	opportunity
if	IN	if
I	PP	I
did	VBD	do
n't	RB	n't
take	VB	take
early	JJ	early
retirement	NN	retirement
then	RB	then
I	PP	I
'd	MD	will
have	VB	have
to	TO	to
have	VB	have
committed	VBN	commit
to	TO	to
another	DT	another
five	CD	five
years	NNS	year
and	CC	and
I	PP	I
could	MD	could
n't	RB	n't
face	VB	face
five	CD	five
more	JJR	more
more	JJR	more
years	NNS	year
so	IN	so
I	PP	I
thought	VBD	think
right	RB	right
I	PP	I
'll	MD	will
get	VB	get
out	RP	out
now	RB	now
to	TO	to
get	VB	get
my	PP$	my
early	JJ	early
retirement	NN	retirement
money	NN	money
