oh	UH	oh
but	CC	but
the	DT	the
funniest	JJS	funny
thing	NN	thing
about	IN	about
that	DT	that
whole	JJ	whole
night	NN	night
was	VBD	be
they	PP	they
had	VBD	have
this	DT	this
big	JJ	big
fat	JJ	fat
American	JJ	American
man	NN	man
he	PP	he
was	VBD	be
about	RB	about
fifty	CD	fifty
odd	NN	odd
or	CC	or
something	NN	something
and	CC	and
he	PP	he
sat	VBD	sit
there	RB	there
and	CC	and
erm	VB	<unknown>
whenever	WRB	whenever
the	DT	the
comedian	NN	comedian
the	DT	the
compere	NN	compere
was	VBD	be
n't	RB	n't
it	PP	it
?	SENT	?
He	PP	he
'd	MD	will
say	VB	say
blah	JJ	blah
blah	JJ	blah
blah	JJ	blah
blah	NN	blah
blah	NN	blah
and	CC	and
this	DT	this
American	NP	American
would	MD	would
go	VB	go
that	WDT	that
's	VBZ	be
me	PP	me
and	CC	and
your	PP$	your
like	JJ	like
everybody	NN	everybody
would	MD	would
be	VB	be
like	IN	like
what	WP	what
?	SENT	?
And	CC	and
er	NNS	<unknown>
he	PP	he
'd	MD	will
start	VB	start
chatting	VBG	chat
to	TO	to
him	PP	him
and	CC	and
then	RB	then
I	PP	I
think	VBP	think
the	DT	the
compere	NN	compere
realised	VBD	realise
he	PP	he
's	VBZ	be
a	DT	a
nutter	NN	nutter
let	NN	let
's	VBZ	be
not	RB	not
speak	VB	speak
to	TO	to
him	PP	him
anymore	RB	anymore
but	CC	but
this	DT	this
bloke	NN	bloke
must	MD	must
have	VB	have
he	PP	he
kept	VBN	keep
standing	VBG	stand
up	RP	up
saying	VBG	say
just	RB	just
loads	NNS	load
of	IN	of
stupid	JJ	stupid
things	NNS	thing
