yeah	RB	yeah
I	PP	I
can	MD	can
still	RB	still
I	PP	I
can	MD	can
still	RB	still
learn	VB	learn
how	WRB	how
to	TO	to
do	VB	do
it	PP	it
it	PP	it
's	VBZ	be
just	RB	just
that	IN	that
we	PP	we
're	VBP	be
looking	VBG	look
at	IN	at
ten	CD	ten
years	NNS	year
no	RB	no
we	PP	we
're	VBP	be
not	RB	not
looking	VBG	look
at	IN	at
ten	CD	ten
years	NNS	year
of	IN	of
work	NN	work
but	CC	but
we	PP	we
're	VBP	be
looking	VBG	look
at	IN	at
many	JJ	many
years	NNS	year
of	IN	of
work	NN	work
and	CC	and
I	PP	I
will	MD	will
be	VB	be
sixty	CD	sixty
by	IN	by
the	DT	the
time	NN	time
I	PP	I
've	VBP	have
got	VBN	get
anywhere	RB	anywhere
now	RB	now
so	IN	so
it	PP	it
depends	VBZ	depend
what	WP	what
you	PP	you
say	VBP	say
is	VBZ	be
too	RB	too
late	JJ	late
I	PP	I
I	PP	I
mean	VBP	mean
actually	RB	actually
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
that	WDT	that
's	VBZ	be
too	RB	too
late	RB	late
I	PP	I
think	VBP	think
that	WDT	that
's	VBZ	be
learning	VBG	learn
and	CC	and
learning	VBG	learn
goes	NNS	go
on	IN	on
personally	RB	personally
and	CC	and
I	PP	I
'm	VBP	be
prepared	VBN	prepare
to	TO	to
do	VB	do
it	PP	it
but	CC	but
I	PP	I
have	VBP	have
this	DT	this
terrible	JJ	terrible
oh	UH	oh
I	PP	I
ca	MD	ca
n't	RB	n't
even	RB	even
explain	VB	explain
then	RB	then
my	PP$	my
morbidity	NN	morbidity
sets	NNS	set
in	IN	in
and	CC	and
my	PP$	my
knowledge	NN	knowledge
of	IN	of
that	DT	that
life	NN	life
does	VBZ	do
n't	RB	n't
go	VB	go
on	IN	on
forever	RB	forever
and	CC	and
that	IN	that
it	PP	it
's	VBZ	be
limited	JJ	limited
and	CC	and
there	EX	there
's	VBZ	be
only	RB	only
so	RB	so
much	JJ	much
you	PP	you
can	MD	can
do	VB	do
and	CC	and
I	PP	I
should	MD	should
have	VB	have
started	VBN	start
when	WRB	when
I	PP	I
was	VBD	be
five	CD	five
and	CC	and
this	DT	this
is	VBZ	be
my	PP$	my
one	CD	one
life	NN	life
oh	UH	oh
my	PP$	my
god	NN	god
it	PP	it
's	VBZ	be
terrible	JJ	terrible
what	WP	what
do	VBP	do
I	PP	I
do	VBP	do
?	SENT	?
do	VB	do
I	PP	I
still	RB	still
learn	VBP	learn
anyway	RB	anyway
with	IN	with
what	WP	what
's	VBZ	be
left	VBN	leave
?	SENT	?
in	IN	in
terms	NNS	term
of	IN	of
time	NN	time
and	CC	and
years	NNS	year
or	CC	or
whatever	WDT	whatever
