yes	UH	yes
this	DT	this
is	VBZ	be
a	DT	a
a	DT	a
recreational	JJ	recreational
course	NN	course
at	IN	at
the	DT	the
Creative	NP	Creative
Innovation	NP	Innovation
Centre	NP	Centre
so	IN	so
the	DT	the
creative	JJ	creative
the	DT	the
word	NN	word
creative	JJ	creative
innovation	NN	innovation
is	VBZ	be
key	JJ	key
to	TO	to
the	DT	the
sort	NN	sort
of	IN	of
course	NN	course
we	PP	we
do	VBP	do
here	RB	here
it	PP	it
's	VBZ	be
not	RB	not
the	DT	the
normal	JJ	normal
erm	NN	erm
sort	NN	sort
of	IN	of
for	IN	for
instance	NN	instance
watercolour	NN	watercolour
for	IN	for
beginners	NNS	beginner
type	NN	type
course	NN	course
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
erm	NN	erm
the	DT	the
people	NNS	people
who	WP	who
attend	VBP	attend
are	VBP	be
the	DT	the
majority	NN	majority
of	IN	of
them	PP	them
are	VBP	be
mature	JJ	mature
people	NNS	people
and	CC	and
quite	PDT	quite
a	DT	a
few	JJ	few
have	VBP	have
experienced	VBN	experience
a	DT	a
reasonably	RB	reasonably
good	JJ	good
or	CC	or
very	RB	very
er	JJ	<unknown>
professional	JJ	professional
art	NN	art
education	NN	education
but	CC	but
it	PP	it
's	VBZ	be
open	JJ	open
to	TO	to
erm	NN	erm
anyone	NN	anyone
really	RB	really
and	CC	and
we	PP	we
have	VBP	have
about	IN	about
twenty	CD	twenty
doing	VBG	do
painting	NN	painting
and	CC	and
drawing	VBG	draw
in	IN	in
the	DT	the
morning	NN	morning
and	CC	and
about	IN	about
twenty	CD	twenty
doing	VBG	do
the	DT	the
life	NN	life
drawing	NN	drawing
and	CC	and
the	DT	the
nearest	JJS	near
you	PP	you
could	MD	could
say	VB	say
was	VBD	be
related	VBN	relate
to	TO	to
would	MD	would
be	VB	be
a	DT	a
foundation	NN	foundation
type	NN	type
course	NN	course
