nobody	NN	nobody
I	PP	I
knew	VBD	know
so	RB	so
I	PP	I
just	RB	just
said	VBD	say
to	TO	to
a	DT	a
man	NN	man
that	WDT	that
had	VBD	have
a	DT	a
clipboard	NN	clipboard
you	PP	you
know	VBP	know
he	PP	he
's	VBZ	be
here	RB	here
to	TO	to
to	RB	to
to	TO	to
run	VB	run
what	WP	what
year	NN	year
?	SENT	?
year	NN	year
nine	CD	nine
oh	UH	oh
no	UH	no
I	PP	I
'm	VBP	be
year	NN	year
seven	CD	seven
boys	NNS	boy
erm	RB	<unknown>
try	VBP	try
him	PP	him
over	RP	over
there	RB	there
so	IN	so
I	PP	I
went	VBD	go
to	TO	to
him	PP	him
he	PP	he
's	VBZ	be
here	RB	here
to	TO	to
run	VB	run
year	NN	year
nine	CD	nine
boys	NNS	boy
what	WP	what
's	VBZ	be
his	PP$	his
name	NN	name
?	SENT	?
duh	NP	duh
duh	NP	duh
duh	VBD	<unknown>
oh	UH	oh
he	PP	he
's	VBZ	be
not	RB	not
on	IN	on
my	PP$	my
list	VB	list
oh	UH	oh
what	WP	what
school	NN	school
is	VBZ	be
he	PP	he
at	IN	at
?	SENT	?
I	PP	I
said	VBD	say
the	DT	the
oh	UH	oh
that	WDT	that
's	VBZ	be
strange	JJ	strange
he	PP	he
's	VBZ	be
not	RB	not
on	IN	on
my	PP$	my
list	NN	list
does	VBZ	do
n't	RB	n't
matter	VB	matter
that	WDT	that
's	VBZ	be
fine	JJ	fine
what	WP	what
's	VBZ	be
his	PP$	his
name	NN	name
?	SENT	?
wrote	VBD	write
it	PP	it
down	RP	down
and	CC	and
put	VB	put
a	DT	a
tick	NN	tick
next	JJ	next
to	TO	to
it	PP	it
right	JJ	right
it	PP	it
's	VBZ	be
er	VBG	<unknown>
one	PP	one
o'clock	RB	o'clock
as	RB	as
instructed	VBD	instruct
he	PP	he
said	VBD	say
I	PP	I
said	VBD	say
well	RB	well
what	WP	what
time	NN	time
do	VBP	do
we	PP	we
need	VBP	need
to	TO	to
be	VB	be
back	RB	back
here	RB	here
?	SENT	?
he	PP	he
said	VBD	say
well	RB	well
quarter	NN	quarter
past	IN	past
two	CD	two
he	PP	he
said	VBD	say
do	VB	do
you	PP	you
want	VBP	want
to	TO	to
walk	VB	walk
the	DT	the
route	NN	route
?	SENT	?
I	PP	I
said	VBD	say
well	RB	well
we	PP	we
can	MD	can
see	VB	see
it	PP	it
it	PP	it
's	VBZ	be
er	VBG	<unknown>
up	RP	up
that	DT	that
hill	NN	hill
and	CC	and
down	RB	down
and	CC	and
then	RB	then
up	RB	up
that	IN	that
hill	NN	hill
and	CC	and
down	RB	down
you	PP	you
know	VBP	know
it	PP	it
did	VBD	do
n't	RB	n't
look	VB	look
very	RB	very
nice	JJ	nice
and	CC	and
there	EX	there
was	VBD	be
pplenty	NN	pplenty
of	IN	of
people	NNS	people
walking	VBG	walk
it	PP	it
I	PP	I
said	VBD	say
to	TO	to
do	VB	do
you	PP	you
wanna	VB	wanna
walk	VB	walk
the	DT	the
route	NN	route
?	SENT	?
pouring	VBG	pour
with	IN	with
rain	NN	rain
he	PP	he
said	VBD	say
no	RB	no
I	PP	I
said	VBD	say
er	NN	er
I	PP	I
said	VBD	say
no	RB	no
nor	CC	nor
me	PP	me
come	VBP	come
on	IN	on
we	PP	we
'll	MD	will
go	VB	go
back	RB	back
to	TO	to
the	DT	the
car	NN	car
so	IN	so
we	PP	we
moved	VBD	move
the	DT	the
car	NN	car
cos	NN	cos
once	IN	once
we	PP	we
knew	VBD	know
where	WRB	where
we	PP	we
were	VBD	be
we	PP	we
could	MD	could
see	VB	see
a	DT	a
space	NN	space
closer	RBR	closer
so	IN	so
we	PP	we
moved	VBD	move
the	DT	the
car	NN	car
quarter	NN	quarter
past	IN	past
two	CD	two
we	PP	we
went	VBD	go
back	RB	back
over	IN	over
there	EX	there
it	PP	it
was	VBD	be
so	RB	so
wet	VBN	wet
the	DT	the
mud	NN	mud
was	VBD	be
unbelievable	JJ	unbelievable
cos	NN	cos
there	EX	there
'd	VBD	have
already	RB	already
been	VBN	be
three	CD	three
races	NNS	race
and	CC	and
erm	NN	erm
we	PP	we
found	VBD	find
the	DT	the
man	NN	man
that	IN	that
we	PP	we
'd	VBD	have
s	RB	<unknown>
been	VBN	be
speaking	VBG	speak
to	TO	to
and	CC	and
we	PP	we
awe	VBP	awe
asked	VBN	ask
for	IN	for
the	DT	the
bib	NN	bib
and	CC	and
he	PP	he
said	VBD	say
er	VBG	<unknown>
what	WP	what
school	NN	school
did	VBD	do
you	PP	you
say	VBP	say
he	PP	he
was	VBD	be
at	IN	at
?	SENT	?
I	PP	I
said	VBD	say
the	DT	the
oh	UH	oh
he	PP	he
said	VBD	say
I	PP	I
thought	VBD	think
you	PP	you
said	VBD	say
the	DT	the
the	NP	the
'	POS	'
s	NN	S
not	RB	not
one	CD	one
of	IN	of
ours	PP	ours
where	WRB	where
's	VBZ	be
that	RB	that
?	SENT	?
I	PP	I
said	VBD	say
he	PP	he
went	VBD	go
that	WDT	that
's	VBZ	be
I	PP	I
said	VBD	say
I	PP	I
know	VBP	know
he	PP	he
said	VBD	say
this	DT	this
is	VBZ	be
