oh	UH	oh
poor	JJ	poor
you	PP	you
we	PP	we
still	RB	still
get	VBP	get
we	PP	we
get	VB	get
we	PP	we
still	RB	still
get	VBP	get
stockings	NNS	stocking
we	PP	we
still	RB	still
get	VBP	get
stockings	NNS	stocking
from	IN	from
our	PP$	our
parents	NNS	parent
but	CC	but
what	WP	what
we	PP	we
do	VBP	do
now	RB	now
instead	RB	instead
when	WRB	when
we	PP	we
were	VBD	be
younger	JJR	young
we	PP	we
'd	MD	will
leave	VB	leave
the	DT	the
biscuits	NNS	biscuit
the	DT	the
carrot	NN	carrot
and	CC	and
the	DT	the
brandy	NN	brandy
on	IN	on
the	DT	the
side	NN	side
er	NN	er
but	CC	but
now	RB	now
we	PP	we
just	RB	just
give	VBP	give
them	PP	them
to	TO	to
our	PP$	our
parents	NNS	parent
and	CC	and
they	PP	they
eat	VBP	eat
it	PP	it
before	IN	before
they	PP	they
go	VBP	go
to	TO	to
bed	VB	bed
and	CC	and
then	RB	then
what	WP	what
we	PP	we
used	VBD	use
to	TO	to
do	VB	do
is	VBZ	be
our	PP$	our
parents	NNS	parent
would	MD	would
come	VB	come
into	IN	into
our	PP$	our
room	NN	room
and	CC	and
fill	VB	fill
our	PP$	our
stockings	NNS	stocking
during	IN	during
the	DT	the
night	NN	night
now	RB	now
before	IN	before
we	PP	we
go	VBP	go
to	TO	to
bed	VB	bed
we	PP	we
just	RB	just
take	VB	take
our	PP$	our
stockings	NNS	stocking
into	IN	into
our	PP$	our
parents	NNS	parent
room	NN	room
they	PP	they
fill	VBP	fill
them	PP	them
overnight	RB	overnight
and	CC	and
in	IN	in
the	DT	the
parents	NNS	parent
room	NN	room
and	CC	and
then	RB	then
we	PP	we
go	VBP	go
in	IN	in
the	DT	the
morning	NN	morning
and	CC	and
then	RB	then
open	VB	open
them	PP	them
so	IN	so
it	PP	it
's	VBZ	be
it	PP	it
's	VBZ	be
obviously	RB	obviously
adapted	VBN	adapt
cos	NN	cos
you	PP	you
know	VBP	know
the	DT	the
whole	JJ	whole
Santa	NP	Santa
Claus	NP	Claus
thing	NN	thing
but	CC	but
erm	NN	erm
we	PP	we
still	RB	still
get	VBP	get
stockings	NNS	stocking
which	WDT	which
is	VBZ	be
cool	JJ	cool
stockings	NNS	stocking
is	VBZ	be
like	IN	like
the	DT	the
stuff	NN	stuff
the	DT	the
little	JJ	little
stuff	NN	stuff
you	PP	you
like	VBP	like
practical	JJ	practical
things	NNS	thing
like	IN	like
but	CC	but
underwear	NN	underwear
and	CC	and
pyjamas	NN	pyjamas
