there	EX	there
's	VBZ	be
always	RB	always
means	NNS	mean
and	CC	and
ways	NNS	way
as	IN	as
I	PP	I
said	VBD	say
private	JJ	private
pension	NN	pension
I	PP	I
would	MD	would
n't	RB	n't
apart	RB	apart
company	NN	company
ones	NNS	one
now	RB	now
are	VBP	be
like	IN	like
private	JJ	private
pensions	NNS	pension
and	CC	and
you	PP	you
can	MD	can
opt	VB	opt
out	RP	out
but	CC	but
I	PP	I
would	MD	would
imagine	VB	imagine
if	IN	if
you	PP	you
opt	VBP	opt
out	IN	out
you	PP	you
wo	MD	wo
n't	RB	n't
get	VB	get
any	DT	any
more	JJR	more
than	IN	than
the	DT	the
state	NN	state
pension	NN	pension
further	RBR	further
down	IN	down
the	DT	the
road	NN	road
if	IN	if
er	JJ	<unknown>
cos	NN	cos
they	PP	they
give	VBP	give
you	PP	you
pension	NN	pension
credit	NN	credit
now	RB	now
er	VBZ	<unknown>
which	WDT	which
I	PP	I
think	VBP	think
is	VBZ	be
what	WP	what
's	VBZ	be
?	SENT	?
that	DT	that
's	VBZ	be
a	DT	a
bit	NN	bit
absurd	JJ	absurd
er	NN	er
people	NNS	people
are	VBP	be
paying	VBG	pay
into	IN	into
a	DT	a
pension	NN	pension
and	CC	and
people	NNS	people
who	WP	who
are	VBP	be
n't	RB	n't
paying	VBG	pay
in	RP	in
are	VBP	be
getting	VBG	get
pension	NN	pension
credit	NN	credit
but	CC	but
I	PP	I
would	MD	would
imagine	VB	imagine
that	IN	that
that	WDT	that
'll	MD	will
come	VB	come
to	TO	to
a	DT	a
stoa	NN	stoa
stop	NN	stop
because	IN	because
they	PP	they
'll	MD	will
be	VB	be
going	VBG	go
well	RB	well
you	PP	you
were	VBD	be
working	VBG	work
and	CC	and
you	PP	you
were	VBD	be
given	VBN	give
a	DT	a
choice	NN	choice
of	IN	of
paying	VBG	pay
into	IN	into
a	DT	a
private	JJ	private
pension	NN	pension
you	PP	you
chose	VBD	choose
not	RB	not
to	TO	to
so	RB	so
therefore	RB	therefore
you	PP	you
'll	MD	will
get	VB	get
your	PP$	your
you	PP	you
've	VBP	have
earned	VBN	earn
your	PP$	your
state	NN	state
pension	NN	pension
but	CC	but
we	PP	we
're	VBP	be
not	RB	not
gonna	VBG	gonna
add	VB	add
you	PP	you
anything	NN	anything
on	IN	on
top	JJ	top
because	IN	because
you	PP	you
had	VBD	have
the	DT	the
choice	NN	choice
of	IN	of
a	DT	a
private	JJ	private
pension	NN	pension
er	NNS	<unknown>
with	IN	with
with	IN	with
your	PP$	your
workplace	NN	workplace
your	PP$	your
workplace	JJ	workplace
pension	NN	pension
but	CC	but
you	PP	you
decided	VBD	decide
to	TO	to
opt	VB	opt
out	RP	out
