during	IN	during
which	WDT	which
time	NN	time
I	PP	I
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
doctor	NN	doctor
and	CC	and
I	PP	I
said	VBD	say
look	VB	look
I	PP	I
've	VBP	have
got	VBN	get
this	DT	this
persistent	JJ	persistent
spotting	VBG	spot
and	CC	and
erm	NN	erm
and	CC	and
she	PP	she
s	RB	<unknown>
and	CC	and
she	PP	she
sort	VBP	sort
of	IN	of
said	VBN	say
oh	UH	oh
I	PP	I
think	VBP	think
it	PP	it
's	VBZ	be
probably	RB	probably
going	VBG	go
to	TO	to
be	VB	be
your	PP$	your
thyroid	NN	thyroid
that	WDT	that
's	VBZ	be
out	RP	out
of	IN	of
whack	NN	whack
cos	NN	cos
I	PP	I
also	RB	also
said	VBD	say
well	RB	well
I	PP	I
've	VBP	have
put	VBN	put
on	IN	on
a	DT	a
lot	NN	lot
of	IN	of
weight	NN	weight
over	IN	over
the	DT	the
last	JJ	last
year	NN	year
or	CC	or
two	CD	two
and	CC	and
erm	NN	erm
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
I	PP	I
'm	VBP	be
doing	VBG	do
anything	NN	anything
particularly	RB	particularly
different	JJ	different
but	CC	but
I	PP	I
just	RB	just
keep	VBP	keep
on	RB	on
seem	VB	seem
to	TO	to
get	VB	get
fatter	JJR	fat
and	CC	and
fatter	JJR	fat
all	PDT	all
the	DT	the
time	NN	time
so	IN	so
she	PP	she
said	VBD	say
oh	UH	oh
I	PP	I
think	VBP	think
it	PP	it
's	VBZ	be
probably	RB	probably
your	PP$	your
thyroid	NN	thyroid
because	IN	because
the	DT	the
bleeding	NN	bleeding
will	MD	will
be	VB	be
consistent	JJ	consistent
with	IN	with
thyroid	JJ	thyroid
problem	NN	problem
so	IN	so
she	PP	she
sent	VBD	send
me	PP	me
for	IN	for
tests	NNS	test
and	CC	and
indeed	RB	indeed
I	PP	I
did	VBD	do
have	VB	have
underactive	JJ	underactive
thyroid	NN	thyroid
so	IN	so
she	PP	she
put	VBP	put
me	PP	me
on	IN	on
Levothyroxine	NP	Levothyroxine
and	CC	and
then	RB	then
erm	JJ	<unknown>
and	CC	and
then	RB	then
I	PP	I
sort	VB	sort
of	IN	of
on	IN	on
a	DT	a
hunch	NN	hunch
sort	NN	sort
of	IN	of
said	VBD	say
to	TO	to
her	PP$	her
oh	UH	oh
and	CC	and
I	PP	I
have	VBP	have
n't	RB	n't
had	VBN	have
my	PP$	my
blood	NN	blood
pressure	NN	pressure
taken	VBN	take
for	IN	for
ages	NNS	age
and	CC	and
it	PP	it
turned	VBD	turn
out	IN	out
I	PP	I
had	VBD	have
absolutely	RB	absolutely
sky	NN	sky
high	JJ	high
blood	NN	blood
pressure	NN	pressure
as	IN	as
well	RB	well
so	RB	so
they	PP	they
put	VBP	put
me	PP	me
on	IN	on
drugs	NNS	drug
for	IN	for
that	WDT	that
and	CC	and
then	RB	then
as	IN	as
I	PP	I
went	VBD	go
back	RB	back
to	TO	to
the	DT	the
doctor	NN	doctor
for	IN	for
checkups	NNS	checkup
cos	NN	cos
when	WRB	when
they	PP	they
put	VBP	put
you	PP	you
on	IN	on
Levothyroxine	NP	Levothyroxine
they	PP	they
have	VBP	have
to	TO	to
keep	VB	keep
doing	VBG	do
blood	NN	blood
tests	NNS	test
to	TO	to
work	VB	work
out	RP	out
if	IN	if
you	PP	you
're	VBP	be
on	IN	on
the	DT	the
right	JJ	right
level	NN	level
of	IN	of
of	IN	of
drugs	NNS	drug
and	CC	and
to	TO	to
control	VB	control
your	PP$	your
and	CC	and
bring	VB	bring
